"RegionName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02"
"San Antonio, TX",21,,,,,,,,,,,,,1592.5,1525,1695,1837.5,1725,1600,1700,1900,1850,1850,1750,1750,1950,1950,1950,1900,1850,1800,1772.5,1700,1695,1600,1700,1800,1800,1900,1900,1900,1995,1900,1800,1850,1895,1895,1985,1850,1772.5,1750,1800,1900,1900,1850,1895,1872.5,1750,1750,1850,1850,1850,1950,1950,1900,1995,1995,2100,1900,1872.5,1797,1797,1900,1850
"Orlando, FL",22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995,1995,1900,1900,1900,1900,1950,1950,1995,2000,2000,2000,2000,2000,2000,2000,2037.5,2037.5
"Cleveland, OH",23,,,,,,,,,,,,,,,,,,,,,,,,850,895,995,850,800,885,880,850,875,850,822.5,795,750,800,825,875,900,850,800,800,825,800,800,900,895,897.5,895,895,1050,1050,1000,912.5,1037.5,1075,1086,1100,1000,935,998.5,1100,1100,1195,1185,1195,1300,1225,1325,1350,1250,1275
"Las Vegas, NV",24,,,,,,1850,1997.5,1985,2195,2095,2050,1900,1847.5,1875,1895,1795,1800,1850,1850,1797.5,1895,1950,1950,1900,1835,1850,1750,1699,1750,1795,1795,1795,1700,1700,1695,1700,1700,1700,1700,1700,1700,1785,1795,1800,1795,1750,1745,1700,1750,1750,1750,1799,1795,1799,1800,1800,1795,1795,1800,1795,1797,1800,1842,1850,1995,1895,1895,1900,1850,1827.5,1895,1900,1910
"Virginia Beach, VA",25,,,,,,,,,,,,,2000,2200,2185,2200,2172.5,2000,2000,2000,2000,2000,1995,2000,2000,1950,2225,2200,2200,2200,2000,1992.5,1850,1850,1825,1747.5,1800,1800,1995,2100,2083,2083,1990,1990,1995,1995,1992.5,1900,1897.5,1925,1992.5,2000,2100,2100,2100,2000,1995,1990,2000,1990,1900,1900,1950,2000,2100,2000,1950,1900,1950,1995,1900,1895,1900
"Milwaukee, WI",26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,875,975,950,1025,850,875,825,795,760,760,717.5,755,790,795,849,795,770,785,760,775,775,795,799,750,750,745,745,775,812.5,862.5,772.5,775,760,775,775,750,777.5
"Jacksonville, FL",27,,,,,,,,,,,1797.5,1800,1772.5,1587.5,1795,1762.5,1995,1872.5,1799,1837.5,1699,1900,1900,1825,1800,1900,1999,1999,1999,1925,1850,1800,1846,1850,1795,1700,1662.5,1775,1800,1850,1850,1970,1895,1800,1885,1895,1862.5,1825,1750,1750,1750,1995,1995,1995,1995,1900,1850,1875,1800,1950,1975,1985,1962.5,1925,1950,1950,1925,1837.5,1895,1895,1995,1950,1900
"Oklahoma City, OK",28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,950,950,962.5,1047.5,1050,925,950,950,985,1050,950,975,1000,1022.5,950,950
"Hartford, CT",29,,,,,,,950,950,950,925,937.5,950,950,950,950,1000,997.5,1100,1100,1100,1000,1100,1100,1116.5,1050,1100,1100,1150,1200,1200,1200,1100,1000,1000,1000,1050,1100,1100,1100,1100,1100,1200,1100,1100,1100,1062.5,1100,1100,1087.5,1100,1062.5,1095,1050,1075,1100,1100,1100,1150,1175,1100,1100,1100,1062.5,1000,1012.5,1000,1100,1100,1150,1100,1100,1100,1000
"Richmond, VA",30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1722.5,1795,1725,1597.5,1400,1500,1650,1672.5,1695,1695,1695,1695,1472.5,1645,1725,1725,1647.5,1600,1700,1795,1825,1800,1700,1700,1750,1700,1700,1750,1710,1500,1750,1762.5,1895,1900,1697.5,1725,1899.5,1950,1725,1750
"Buffalo, NY",31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,750,750,750,682,800,825,800,700,750,800,795,750,750,700,775,772.5,800,850,837.5,860,895,800,850,850,850
"Raleigh, NC",32,,,,,,,,,,,,1995,1995,1925,2200,2200,2200,2195,1995,1995,1995,1995,1997.5,2000,2150,2172.5,2097.5,2250,2172.5,2197.5,2050,2000,1995,1950,2095,2122.5,2272.5,2325,2325,2172.5,2200,2195,2295,2125,1935,1885,2000,1995,1995,1895,1925,2095,2125,2195,2097.5,2000,2000,1990,1725,1800,2100,2195,2097.5,2295,2200,2150,1997.5,2050,2250,2100,2100,2000,2000
"Salt Lake City, UT",33,,,,,,,,,,,,,,,,,,,,,1325,1397.5,1495,1395,1495,1497.5,1649,1495,1472.5,1495,1495,1500,1600,1525,1595,1495,1500,1572.5,1612.5,1596.5,1600,1750,1650,1595,1550,1495,1525,1575,1550,1550,1582.5,1575,1595,1695,1712.5,1699,1625,1625,1600,1600,1672.5,1700,1800,1695,1695,1750,1750,1750,1750,1775,1750,1750,1775
"Urban Honolulu, HI",34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3350,3100,3025,3050,3175,3250,3175,2975,3200,2700,2700,2500,2650,2750,2700,2350,2300,2500,2700,2600,2975,3000,3000,2700,2600,3000,2800,2700,2800,2800,2950,2550,2500,2500
"Worcester, MA",35,,,,,,,,,,,,,,,,,,,,,,,,,1175,1175,1000,997.5,1100,1100,1050,1025,1050,1100,1025,1000,1000,975,1100,1250,1200,1200,1200,1247.5,1025,1000,1000,1025,1100,1100,1100,1075,1125,1200,1175,1100,1050,1100,1050,1072.5,1025,1100,1100,1200,1200,1200,1300,1125,1150,1100,1100,1150,1200
"New Haven, CT",36,900,875,925,900,950,950,1075,1000,950,962.5,950,950,950,950,997.5,997.5,960,1000,1000,1000,1050,1000,950,1000,1000,1000,1000,1000,1100,1100,1000,1012.5,1000,1050,1050,1000,1000,1050,1025,1000,1050,1065,1075,1025,1050,1050,1025,1050,1050,1050,1100,1000,1100,1100,1100,1070,1050,1050,1087.5,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
"Ventura, CA",37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3250,3600,3500,3495,3500,3500,3250,3600,3650,3650,3650,3650,3700,3700,3590,3537.5,3500,3800,3850,3912.5,3950,3950,3837.5,3797.5,3500,3500,3747.5,3850,3837.5,3800,3895,3672.5,3850,3800,3912.5,3837.5,3800,3800
"El Paso, TX",38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1597.5,1542.5,1620,1500,1495,1395,1375,1425,1340,1350,1362.5,1297.5,1350,1350,1400,1400,1300,1300,1297.5,1395,1300,1300,1375,1500,1525,1500,1500,1500,1495,1450,1500,1500,1500,1597.5,1450,1500,1390,1390,1500,1450,1500,1322.5,1400,1425,1442.5
"Columbia, SC",39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1625,1600,1550,1600,1475,1222.5,1400,1650,1650,1700,1700,1700,1697.5,1550,1450,1500,1500,1699.5,1700,1575,1700,1500,1500,1525,1500,1475,1575,1550,1600,1587.5,1750,1750,1700,1697,1692.5,1599,1450,1487.5,1485
"Stockton, CA",40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1650,1650,1700,1645,1797.5,1682.5,1675,1695,1795,1800,1850,1850,1922.5,1747.5,1800,1872,1650,1650,1695,1650,1697.5,1700,1925,1950
"Colorado Springs, CO",41,,,,,,,,,,,,,1550,1800,1625,1700,1712.5,1595,1582.5,1600,1595,1650,1650,1600,1495,1595,1850,1700,1695,1650,1650,1645,1600,1600,1649.5,1650,1650,1650,1700,1700,1650,1600,1600,1650,1600,1600,1650,1625,1650,1650,1695,1795,1750,1795,1800,1750,1700,1695,1700,1700,1700,1785,1825,1850,1895,1812.5,1895,1850,1797.5,1750,1725,1737,1725
"Boise City, ID",42,,,,,,,,,,,,,,,,,,,,,,,,675,642.5,650,650,650,647.5,675,725,695,725,675,675,695,695,695,675,695,675,725,700,695,695,695,695,725,750,725,745,725,775,750,775,837.5,875,950,975,872.5,775,835,845,895,950,850,812.5,795,810,775,775,800,775
"Ogden, UT",43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250,1250,1350,1395,1395,1395,1412.5,1450,1400,1350,1300,1312.5,1312.5,1350,1472.5,1500,1425,1350,1325,1300,1200,1237.5,1325,1395,1425,1400,1375,1337.5,1412.5,1425,1350,1372.5,1325,1372.5,1410,1200
"Augusta, GA",44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600,1600,1600,1695,1595,1600,1600,1700,1695,1695,1597.5,1595,1675,1650,1750,1772.5,1597.5,1595,1550,1597.5,1600,1585,1500,1550,1537.5
