geocode,lat,lng,price_sqft
"Los Angeles County,CA",34.0522265,-118.2436596,202.827
"Cook County,IL",41.7376587,-87.697554,152.6718
"Maricopa County,AZ",33.2917968,-112.4291464,91.905
"San Diego County,CA",32.7157305,-117.1610966,214.5362
"Orange County,CA",33.7174708,-117.8311428,238.0499
"Kings County,NY",40.6781784,-73.9441579,
"Miami-Dade County,FL",25.7616798,-80.1917902,104.5168
"Dallas County,TX",32.8024682,-96.83509989999999,72.4529
"Queens County,NY",40.7282239,-73.7948516,
"Riverside County,CA",33.9532966,-117.3961192,123.9909
"San Bernardino County,CA",34.9592083,-116.419389,115.3755
"Clark County,NV",36.0795613,-115.094045,102.355
"King County,WA",47.5480339,-121.9836029,151.8246
"Wayne County,MI",42.2790746,-83.33618799999999,107.7773
"Tarrant County,TX",32.7732044,-97.35165579999999,68.2299
"Santa Clara County,CA",37.3336581,-121.8907041,325.1509
"Broward County,FL",26.190096,-80.365865,111.0027
"New York County,NY",40.7830603,-73.9712488,
"Philadelphia County,PA",40.0152766,-75.1311874,89.1594
"Alameda County,CA",37.6016892,-121.7195459,278.1637
"Middlesex County,MA",42.467206,-71.2874209,204.8873
"Suffolk County,NY",40.9848784,-72.61511689999999,207.9674
"Sacramento County,CA",38.47467,-121.3541631,146.6376
"Bronx County,NY",40.8370495,-73.86542949999999,
"Nassau County,NY",40.6546145,-73.55941279999999,227.92
"Palm Beach County,FL",26.6514503,-80.2767327,112.1012
"Cuyahoga County,OH",41.433923,-81.67582,82.6567
"Hillsborough County,FL",27.9903597,-82.3017728,83.9717
"Allegheny County,PA",40.4450813,-80.0087746,70.7472
"Oakland County,MI",42.59219239999999,-83.33618799999999,124.5286
"Franklin County,OH",40.0154745,-82.99316069999999,94.2215
"Hennepin County,MN",45.0208911,-93.5094574,145.3572
"Orange County,FL",28.4844995,-81.2518833,87.6744
"Fairfax County,VA",38.9085472,-77.2405153,194.7186
"Contra Costa County,CA",37.8534093,-121.9017954,229.465
"Saint Louis County,MO",38.6103023,-90.4125181,108.2509
"Pima County,AZ",32.057499,-111.6660725,94.0925
"Montgomery County,MD",39.1547426,-77.2405153,191.9866
"Honolulu County,HI",21.3069857,-157.8584319,206.0211
"Westchester County,NY",41.1220194,-73.7948516,253.1011
"Milwaukee County,WI",43.03879490000001,-87.9065334,86.9959
"Fresno County,CA",36.9858984,-119.2320784,96.9997
"Shelby County,TN",35.1268552,-89.9253233,69.8404
"Fulton County,GA",33.8033965,-84.3962535,99.0728
"Mecklenburg County,NC",35.2632655,-80.8543847,85.1745
"Erie County,NY",42.9023958,-78.8661589,67.9577
"Du Page County,IL",41.8243831,-88.0900762,136.3653
"Fairfield County,CT",41.2559654,-73.37086959999999,190.18200000000002
"Pinellas County,FL",27.876394,-82.7778579,97.6689
"Bergen County,NJ",40.9262762,-74.07701,213.8514
"Wake County,NC",35.8031909,-78.5660852,91.4281
"Hartford County,CT",41.7924343,-72.8042797,119.8227
"Duval County,FL",30.3500511,-81.6035062,76.891
"Prince Georges County,MD",38.78492110000001,-76.8720961,121.8009
"New Haven County,CT",41.3266911,-72.8042797,129.3798
"Macomb County,MI",42.7168759,-82.82097399999999,112.6639
"Kern County,CA",35.4937274,-118.8596804,84.1266
"Ventura County,CA",34.3704884,-119.1390642,214.2675
"Middlesex County,NJ",40.4111363,-74.35874729999999,143.3536
"Gwinnett County,GA",33.9190653,-84.01674229999999,79.8139
"San Francisco County,CA",37.7749073,-122.4193878,397.3068
"Baltimore County,MD",39.4647665,-76.7336521,108.68799999999999
"Hamilton County,OH",39.2355447,-84.56414699999999,87.9419
