geocode,lat,lng,price_sqft
"Los Angeles County,CA",34.0522265,-118.2436596,401.9161
"Cook County,IL",41.7376587,-87.697554,206.1106
"Maricopa County,AZ",33.2917968,-112.4291464,159.4893
"San Diego County,CA",32.7157305,-117.1610966,319.5979
"Orange County,CA",33.7174708,-117.8311428,403.9505
"Kings County,NY",40.6781784,-73.9441579,343.8645
"Miami-Dade County,FL",25.7616798,-80.1917902,214.2672
"Dallas County,TX",32.8024682,-96.83509989999999,89.0925
"Queens County,NY",40.7282239,-73.7948516,362.7965
"Riverside County,CA",33.9532966,-117.3961192,209.8817
"San Bernardino County,CA",34.9592083,-116.419389,221.9161
"Clark County,NV",36.0795613,-115.094045,178.2114
"King County,WA",47.5480339,-121.9836029,250.1688
"Wayne County,MI",42.2790746,-83.33618799999999,105.3355
"Tarrant County,TX",32.7732044,-97.35165579999999,81.3468
"Santa Clara County,CA",37.3336581,-121.8907041,496.98199999999997
"Broward County,FL",26.190096,-80.365865,197.9784
"New York County,NY",40.7830603,-73.9712488,
"Philadelphia County,PA",40.0152766,-75.1311874,135.5297
"Alameda County,CA",37.6016892,-121.7195459,423.7913
"Middlesex County,MA",42.467206,-71.2874209,246.7163
"Suffolk County,NY",40.9848784,-72.61511689999999,321.1703
"Sacramento County,CA",38.47467,-121.3541631,217.1553
"Bronx County,NY",40.8370495,-73.86542949999999,269.7753
"Nassau County,NY",40.6546145,-73.55941279999999,323.9781
"Palm Beach County,FL",26.6514503,-80.2767327,186.1346
"Cuyahoga County,OH",41.433923,-81.67582,95.0235
"Hillsborough County,FL",27.9903597,-82.3017728,137.9505
"Allegheny County,PA",40.4450813,-80.0087746,91.4594
"Oakland County,MI",42.59219239999999,-83.33618799999999,126.8621
"Franklin County,OH",40.0154745,-82.99316069999999,105.8187
"Hennepin County,MN",45.0208911,-93.5094574,180.3696
"Orange County,FL",28.4844995,-81.2518833,153.882
"Fairfax County,VA",38.9085472,-77.2405153,302.2285
"Contra Costa County,CA",37.8534093,-121.9017954,372.4878
"Saint Louis County,MO",38.6103023,-90.4125181,134.3664
"Pima County,AZ",32.057499,-111.6660725,145.379
"Montgomery County,MD",39.1547426,-77.2405153,322.3602
"Honolulu County,HI",21.3069857,-157.8584319,395.7154
"Westchester County,NY",41.1220194,-73.7948516,328.6406
"Milwaukee County,WI",43.03879490000001,-87.9065334,124.3089
"Fresno County,CA",36.9858984,-119.2320784,172.896
"Shelby County,TN",35.1268552,-89.9253233,82.7278
"Fulton County,GA",33.8033965,-84.3962535,126.6563
"Mecklenburg County,NC",35.2632655,-80.8543847,103.1235
"Erie County,NY",42.9023958,-78.8661589,86.1052
"Du Page County,IL",41.8243831,-88.0900762,177.4364
"Fairfield County,CT",41.2559654,-73.37086959999999,278.9067
"Pinellas County,FL",27.876394,-82.7778579,155.9
