geocode,lat,lng,price_sqft
"Los Angeles County,CA",34.0522265,-118.2436596,253.1136
"Cook County,IL",41.7376587,-87.697554,156.7004
"Maricopa County,AZ",33.2917968,-112.4291464,86.999
"San Diego County,CA",32.7157305,-117.1610966,217.5049
"Orange County,CA",33.7174708,-117.8311428,279.8554
"Kings County,NY",40.6781784,-73.9441579,351.8738
"Miami-Dade County,FL",25.7616798,-80.1917902,110.095
"Dallas County,TX",32.8024682,-96.83509989999999,73.0246
"Queens County,NY",40.7282239,-73.7948516,363.2498
"Riverside County,CA",33.9532966,-117.3961192,107.2947
"San Bernardino County,CA",34.9592083,-116.419389,109.5435
"Clark County,NV",36.0795613,-115.094045,75.9191
"King County,WA",47.5480339,-121.9836029,197.1558
"Wayne County,MI",42.2790746,-83.33618799999999,56.4357
"Tarrant County,TX",32.7732044,-97.35165579999999,72.0789
"Santa Clara County,CA",37.3336581,-121.8907041,364.1714
"Broward County,FL",26.190096,-80.365865,108.1392
"New York County,NY",40.7830603,-73.9712488,
"Philadelphia County,PA",40.0152766,-75.1311874,120.2813
"Alameda County,CA",37.6016892,-121.7195459,276.6438
"Middlesex County,MA",42.467206,-71.2874209,234.4702
"Suffolk County,NY",40.9848784,-72.61511689999999,218.894
"Sacramento County,CA",38.47467,-121.3541631,110.3228
"Bronx County,NY",40.8370495,-73.86542949999999,218.1764
"Nassau County,NY",40.6546145,-73.55941279999999,277.5663
"Palm Beach County,FL",26.6514503,-80.2767327,112.9514
"Cuyahoga County,OH",41.433923,-81.67582,81.2827
"Hillsborough County,FL",27.9903597,-82.3017728,84.3108
"Allegheny County,PA",40.4450813,-80.0087746,96.4406
"Oakland County,MI",42.59219239999999,-83.33618799999999,90.4711
"Franklin County,OH",40.0154745,-82.99316069999999,100.6622
"Hennepin County,MN",45.0208911,-93.5094574,155.1059
"Orange County,FL",28.4844995,-81.2518833,75.2406
"Fairfax County,VA",38.9085472,-77.2405153,277.7912
"Contra Costa County,CA",37.8534093,-121.9017954,193.821
"Saint Louis County,MO",38.6103023,-90.4125181,122.73200000000001
"Pima County,AZ",32.057499,-111.6660725,92.6033
"Montgomery County,MD",39.1547426,-77.2405153,274.9398
"Honolulu County,HI",21.3069857,-157.8584319,403.6483
"Westchester County,NY",41.1220194,-73.7948516,310.8174
"Milwaukee County,WI",43.03879490000001,-87.9065334,83.9619
"Fresno County,CA",36.9858984,-119.2320784,95.8785
"Shelby County,TN",35.1268552,-89.9253233,73.2532
"Fulton County,GA",33.8033965,-84.3962535,120.1977
"Mecklenburg County,NC",35.2632655,-80.8543847,94.4523
"Erie County,NY",42.9023958,-78.8661589,92.2325
"Du Page County,IL",41.8243831,-88.0900762,156.2616
"Fairfield County,CT",41.2559654,-73.37086959999999,238.9682
"Pinellas County,FL",27.876394,-82.7778579,94.7871
"Bergen County,NJ",40.9262762,-74.07701,245.5756
"Wake County,NC",35.8031909,-78.5660852,106.6905
"Hartford County,CT",41.7924343,-72.8042797,150.6324
"Duval County,FL",30.3500511,-81.6035062,78.8535
"Prince Georges County,MD",38.78492110000001,-76.8720961,132.8895
"New Haven County,CT",41.3266911,-72.8042797,152.029
"Macomb County,MI",42.7168759,-82.82097399999999,69.5806
"Kern County,CA",35.4937274,-118.8596804,85.1613
"Ventura County,CA",34.3704884,-119.1390642,232.9741
"Middlesex County,NJ",40.4111363,-74.35874729999999,184.0255
"Gwinnett County,GA",33.9190653,-84.01674229999999,64.4127
"San Francisco County,CA",37.7749073,-122.4193878,486.7121
"Baltimore County,MD",39.4647665,-76.7336521,153.9746
"Hamilton County,OH",39.2355447,-84.56414699999999,92.8329
"Montgomery County,PA",40.2290075,-75.3878525,149.5625
"Worcester County,MA",42.4096528,-71.8571331,148.0125
"Pierce County,WA",47.0675877,-122.1295269,120.4987
"Essex County,NJ",40.7947466,-74.2648829,215.1351
"Collin County,TX",33.1795213,-96.49297969999999,84.2254
"Monroe County,NY",43.2841246,-77.7452081,87.6973
"Essex County,MA",42.7051144,-70.90712359999999,191.6773
"Jefferson County,KY",38.1938097,-85.64348700000001,97.1298
"Multnomah County,OR",45.5145659,-122.5863212,174.1666
"Suffolk County,MA",42.3522866,-71.0504229,236.8912
"Oklahoma County,OK",35.6038323,-97.35165579999999,83.8381
"San Mateo County,CA",37.4337342,-122.4014193,469.3584
"Snohomish County,WA",48.0329979,-121.8339472,143.0398
"Lake County,IL",42.3689363,-87.8271534,132.8489
"Dekalb County,GA",33.7956441,-84.2278796,102.7437
"Cobb County,GA",33.8999297,-84.56414699999999,86.5302
"San Joaquin County,CA",37.9175935,-121.1710389,96.0402
"Will County,IL",41.5054724,-88.0900762,102.2257
"Norfolk County,MA",42.17668,-71.1448516,225.4329
