geocode,lat,lng,price_sqft
"Los Angeles County,CA",34.0522265,-118.2436596,266.2789
"Cook County,IL",41.7376587,-87.697554,169.8224
"Maricopa County,AZ",33.2917968,-112.4291464,89.4349
"San Diego County,CA",32.7157305,-117.1610966,233.7645
"Orange County,CA",33.7174708,-117.8311428,296.7848
"Kings County,NY",40.6781784,-73.9441579,320.9078
"Miami-Dade County,FL",25.7616798,-80.1917902,114.8527
"Dallas County,TX",32.8024682,-96.83509989999999,75.4677
"Queens County,NY",40.7282239,-73.7948516,309.5115
"Riverside County,CA",33.9532966,-117.3961192,109.9795
"San Bernardino County,CA",34.9592083,-116.419389,117.0721
"Clark County,NV",36.0795613,-115.094045,80.9303
"King County,WA",47.5480339,-121.9836029,210.7927
"Wayne County,MI",42.2790746,-83.33618799999999,60.2905
"Tarrant County,TX",32.7732044,-97.35165579999999,74.6661
"Santa Clara County,CA",37.3336581,-121.8907041,383.8194
"Broward County,FL",26.190096,-80.365865,92.5795
"New York County,NY",40.7830603,-73.9712488,
"Philadelphia County,PA",40.0152766,-75.1311874,129.7317
"Alameda County,CA",37.6016892,-121.7195459,299.0483
"Middlesex County,MA",42.467206,-71.2874209,245.4544
"Suffolk County,NY",40.9848784,-72.61511689999999,227.8573
"Sacramento County,CA",38.47467,-121.3541631,119.4398
"Bronx County,NY",40.8370495,-73.86542949999999,236.1748
"Nassau County,NY",40.6546145,-73.55941279999999,285.278
"Palm Beach County,FL",26.6514503,-80.2767327,121.29299999999999
"Cuyahoga County,OH",41.433923,-81.67582,86.3321
"Hillsborough County,FL",27.9903597,-82.3017728,88.959
"Allegheny County,PA",40.4450813,-80.0087746,93.1905
"Oakland County,MI",42.59219239999999,-83.33618799999999,89.5469
"Franklin County,OH",40.0154745,-82.99316069999999,101.5971
"Hennepin County,MN",45.0208911,-93.5094574,166.4479
"Orange County,FL",28.4844995,-81.2518833,83.2128
"Fairfax County,VA",38.9085472,-77.2405153,272.8915
"Contra Costa County,CA",37.8534093,-121.9017954,210.1406
"Saint Louis County,MO",38.6103023,-90.4125181,128.84
"Pima County,AZ",32.057499,-111.6660725,107.3548
"Montgomery County,MD",39.1547426,-77.2405153,285.4258
"Honolulu County,HI",21.3069857,-157.8584319,384.7112
"Westchester County,NY",41.1220194,-73.7948516,313.5988
"Milwaukee County,WI",43.03879490000001,-87.9065334,100.2922
"Fresno County,CA",36.9858984,-119.2320784,105.00399999999999
"Shelby County,TN",35.1268552,-89.9253233,73.4358
"Fulton County,GA",33.8033965,-84.3962535,108.6987
"Mecklenburg County,NC",35.2632655,-80.8543847,94.8124
"Erie County,NY",42.9023958,-78.8661589,89.5274
"Du Page County,IL",41.8243831,-88.0900762,161.2808
"Fairfield County,CT",41.2559654,-73.37086959999999,265.7687
"Pinellas County,FL",27.876394,-82.7778579,107.5804
"Bergen County,NJ",40.9262762,-74.07701,254.6967
"Wake County,NC",35.8031909,-78.5660852,109.3132
"Hartford County,CT",41.7924343,-72.8042797,153.9657
"Duval County,FL",30.3500511,-81.6035062,86.0607
"Prince Georges County,MD",38.78492110000001,-76.8720961,149.9993
"New Haven County,CT",41.3266911,-72.8042797,161.655
"Macomb County,MI",42.7168759,-82.82097399999999,75.7421
"Kern County,CA",35.4937274,-118.8596804,92.0735
"Ventura County,CA",34.3704884,-119.1390642,250.3556
"Middlesex County,NJ",40.4111363,-74.35874729999999,197.8299
"Gwinnett County,GA",33.9190653,-84.01674229999999,72.7767
"San Francisco County,CA",37.7749073,-122.4193878,538.3216
"Baltimore County,MD",39.4647665,-76.7336521,165.2493
"Hamilton County,OH",39.2355447,-84.56414699999999,90.7912
"Montgomery County,PA",40.2290075,-75.3878525,153.0774
"Worcester County,MA",42.4096528,-71.8571331,152.7129
"Pierce County,WA",47.0675877,-122.1295269,133.9392
"Essex County,NJ",40.7947466,-74.2648829,223.1263
"Collin County,TX",33.1795213,-96.49297969999999,84.87200000000001
"Monroe County,NY",43.2841246,-77.7452081,88.0297
"Essex County,MA",42.7051144,-70.90712359999999,197.1328
"Jefferson County,KY",38.1938097,-85.64348700000001,97.3711
"Multnomah County,OR",45.5145659,-122.5863212,191.7373
"Suffolk County,MA",42.3522866,-71.0504229,242.4604
"Oklahoma County,OK",35.6038323,-97.35165579999999,84.1978
"San Mateo County,CA",37.4337342,-122.4014193,500.4305
"Snohomish County,WA",48.0329979,-121.8339472,173.3648
"Lake County,IL",42.3689363,-87.8271534,138.2982
"Dekalb County,GA",33.7956441,-84.2278796,78.4511
"Cobb County,GA",33.8999297,-84.56414699999999,95.7339
"San Joaquin County,CA",37.9175935,-121.1710389,100.3482
"Will County,IL",41.5054724,-88.0900762,114.1828
