geocode,lat,lng,price_sqft
"Los Angeles County,CA",34.0522265,-118.2436596,352.3385
"Cook County,IL",41.7376587,-87.697554,182.8225
"Maricopa County,AZ",33.2917968,-112.4291464,127.5888
"San Diego County,CA",32.7157305,-117.1610966,299.9026
"Orange County,CA",33.7174708,-117.8311428,365.8566
"Kings County,NY",40.6781784,-73.9441579,415.7935
"Miami-Dade County,FL",25.7616798,-80.1917902,163.4892
"Dallas County,TX",32.8024682,-96.83509989999999,96.088
"Queens County,NY",40.7282239,-73.7948516,375.4236
"Riverside County,CA",33.9532966,-117.3961192,167.6863
"San Bernardino County,CA",34.9592083,-116.419389,173.0095
"Clark County,NV",36.0795613,-115.094045,121.1187
"King County,WA",47.5480339,-121.9836029,251.3588
"Wayne County,MI",42.2790746,-83.33618799999999,96.1239
"Tarrant County,TX",32.7732044,-97.35165579999999,89.7818
"Santa Clara County,CA",37.3336581,-121.8907041,575.6696
"Broward County,FL",26.190096,-80.365865,160.8038
"New York County,NY",40.7830603,-73.9712488,
"Philadelphia County,PA",40.0152766,-75.1311874,126.4086
"Alameda County,CA",37.6016892,-121.7195459,451.2525
"Middlesex County,MA",42.467206,-71.2874209,249.915
"Suffolk County,NY",40.9848784,-72.61511689999999,272.1816
"Sacramento County,CA",38.47467,-121.3541631,181.6984
"Bronx County,NY",40.8370495,-73.86542949999999,247.7649
"Nassau County,NY",40.6546145,-73.55941279999999,302.0968
"Palm Beach County,FL",26.6514503,-80.2767327,160.535
"Cuyahoga County,OH",41.433923,-81.67582,89.7264
"Hillsborough County,FL",27.9903597,-82.3017728,112.3354
"Allegheny County,PA",40.4450813,-80.0087746,107.1426
"Oakland County,MI",42.59219239999999,-83.33618799999999,127.6291
"Franklin County,OH",40.0154745,-82.99316069999999,104.8482
"Hennepin County,MN",45.0208911,-93.5094574,200.9377
"Orange County,FL",28.4844995,-81.2518833,115.6144
"Fairfax County,VA",38.9085472,-77.2405153,303.4797
"Contra Costa County,CA",37.8534093,-121.9017954,309.7851
"Saint Louis County,MO",38.6103023,-90.4125181,138.0582
"Pima County,AZ",32.057499,-111.6660725,109.07799999999999
"Montgomery County,MD",39.1547426,-77.2405153,294.1967
"Honolulu County,HI",21.3069857,-157.8584319,440.4655
"Westchester County,NY",41.1220194,-73.7948516,341.0819
"Milwaukee County,WI",43.03879490000001,-87.9065334,104.40799999999999
"Fresno County,CA",36.9858984,-119.2320784,132.2203
"Shelby County,TN",35.1268552,-89.9253233,79.6222
"Fulton County,GA",33.8033965,-84.3962535,140.9758
"Mecklenburg County,NC",35.2632655,-80.8543847,108.3582
"Erie County,NY",42.9023958,-78.8661589,102.4078
"Du Page County,IL",41.8243831,-88.0900762,166.7448
"Fairfield County,CT",41.2559654,-73.37086959999999,240.6635
"Pinellas County,FL",27.876394,-82.7778579,133.9071
"Bergen County,NJ",40.9262762,-74.07701,264.034
"Wake County,NC",35.8031909,-78.5660852,120.0868
"Hartford County,CT",41.7924343,-72.8042797,145.9313
"Duval County,FL",30.3500511,-81.6035062,101.9682
"Prince Georges County,MD",38.78492110000001,-76.8720961,171.8004
"New Haven County,CT",41.3266911,-72.8042797,155.9974
"Macomb County,MI",42.7168759,-82.82097399999999,103.368
"Kern County,CA",35.4937274,-118.8596804,126.6184
"Ventura County,CA",34.3704884,-119.1390642,307.5008
"Middlesex County,NJ",40.4111363,-74.35874729999999,193.4353
"Gwinnett County,GA",33.9190653,-84.01674229999999,92.1111
"San Francisco County,CA",37.7749073,-122.4193878,835.0778
"Baltimore County,MD",39.4647665,-76.7336521,167.3641
"Hamilton County,OH",39.2355447,-84.56414699999999,96.5055
"Montgomery County,PA",40.2290075,-75.3878525,153.5521
"Worcester County,MA",42.4096528,-71.8571331,153.9191
"Pierce County,WA",47.0675877,-122.1295269,147.8919
"Essex County,NJ",40.7947466,-74.2648829,239.7112
"Collin County,TX",33.1795213,-96.49297969999999,110.3645
"Monroe County,NY",43.2841246,-77.7452081,95.1209
"Essex County,MA",42.7051144,-70.90712359999999,234.6436
"Jefferson County,KY",38.1938097,-85.64348700000001,115.1301
"Multnomah County,OR",45.5145659,-122.5863212,236.0087
"Suffolk County,MA",42.3522866,-71.0504229,334.5839
"Oklahoma County,OK",35.6038323,-97.35165579999999,91.4984
"San Mateo County,CA",37.4337342,-122.4014193,747.1631
"Snohomish County,WA",48.0329979,-121.8339472,191.8984
"Lake County,IL",42.3689363,-87.8271534,140.6495
"Dekalb County,GA",33.7956441,-84.2278796,154.9506
"Cobb County,GA",33.8999297,-84.56414699999999,108.6547
"San Joaquin County,CA",37.9175935,-121.1710389,163.7931
"Will County,IL",41.5054724,-88.0900762,115.3054
"Norfolk County,MA",42.17668,-71.1448516,261.8392
"Denton County,TX",33.1418611,-97.179026,107.3622
"Jefferson County,AL",33.4914122,-86.9824288,99.3507
"Hudson County,NJ",40.7453199,-74.05351259999999,175.1834
"Monmouth County,NJ",40.2589455,-74.12399599999999,200.9584
"Davidson County,TN",36.1342563,-86.8220341,118.1042
"Providence County,RI",41.8881582,-71.4774291,151.3447
"Bucks County,PA",40.4107964,-75.2479061,168.6077
"El Paso County,CO",38.9108325,-104.4723301,119.1586
"Baltimore City County,MD",39.3994936,-76.60684990000001,136.8617
"Lee County,FL",26.6630286,-81.9534815,117.5271
"Tulsa County,OK",36.1593471,-95.94097099999999,87.9426
"Kent County,MI",43.0097027,-85.52002399999999,94.471
"Polk County,FL",27.8617347,-81.6911559,92.1038
"District of Columbia County,DC",38.8588633,-76.89885559999999,427.7724
"Denver County,CO",39.76161889999999,-104.9622498,281.2862
"Ocean County,NJ",39.9652553,-74.3118212,152.0144
"Arapahoe County,CO",39.62031,-104.332644,195.8138
"Delaware County,PA",39.907793,-75.3878525,137.4118
"Bristol County,MA",41.7938406,-71.1448516,188.4962
"Brevard County,FL",28.263933,-80.7214417,103.0771
"Summit County,OH",41.0918991,-81.5596427,95.9061
"New Castle County,DE",39.5392979,-75.667356,143.9127
"Anne Arundel County,MD",38.9530109,-76.5488232,209.268
"Union County,NJ",40.6595001,-74.2883536,237.1994
"Montgomery County,OH",39.7620028,-84.3542049,79.2556
"Jefferson County,CO",39.5800298,-105.2662931,218.8148
