geocode,lat,lng,price_sqft
"Los Angeles County,CA",34.0522265,-118.2436596,255.6102
"Cook County,IL",41.7376587,-87.697554,150.0162
"Maricopa County,AZ",33.2917968,-112.4291464,83.2492
"San Diego County,CA",32.7157305,-117.1610966,221.1959
"Orange County,CA",33.7174708,-117.8311428,282.5672
"Kings County,NY",40.6781784,-73.9441579,324.5111
"Miami-Dade County,FL",25.7616798,-80.1917902,109.6137
"Dallas County,TX",32.8024682,-96.83509989999999,72.4897
"Queens County,NY",40.7282239,-73.7948516,330.4958
"Riverside County,CA",33.9532966,-117.3961192,110.1694
"San Bernardino County,CA",34.9592083,-116.419389,109.75200000000001
"Clark County,NV",36.0795613,-115.094045,78.0406
"King County,WA",47.5480339,-121.9836029,182.49900000000002
"Wayne County,MI",42.2790746,-83.33618799999999,49.0166
"Tarrant County,TX",32.7732044,-97.35165579999999,69.59100000000001
"Santa Clara County,CA",37.3336581,-121.8907041,369.0551
"Broward County,FL",26.190096,-80.365865,106.2003
"New York County,NY",40.7830603,-73.9712488,
"Philadelphia County,PA",40.0152766,-75.1311874,120.1752
"Alameda County,CA",37.6016892,-121.7195459,275.0208
"Middlesex County,MA",42.467206,-71.2874209,232.1049
"Suffolk County,NY",40.9848784,-72.61511689999999,224.3609
"Sacramento County,CA",38.47467,-121.3541631,111.3133
"Bronx County,NY",40.8370495,-73.86542949999999,210.7747
"Nassau County,NY",40.6546145,-73.55941279999999,264.02099999999996
"Palm Beach County,FL",26.6514503,-80.2767327,115.8009
"Cuyahoga County,OH",41.433923,-81.67582,78.5752
"Hillsborough County,FL",27.9903597,-82.3017728,80.5471
"Allegheny County,PA",40.4450813,-80.0087746,88.9205
"Oakland County,MI",42.59219239999999,-83.33618799999999,89.1787
"Franklin County,OH",40.0154745,-82.99316069999999,100.3946
"Hennepin County,MN",45.0208911,-93.5094574,150.3492
"Orange County,FL",28.4844995,-81.2518833,74.3241
"Fairfax County,VA",38.9085472,-77.2405153,275.1356
"Contra Costa County,CA",37.8534093,-121.9017954,186.043
"Saint Louis County,MO",38.6103023,-90.4125181,118.6366
"Pima County,AZ",32.057499,-111.6660725,98.3678
"Montgomery County,MD",39.1547426,-77.2405153,267.3838
"Honolulu County,HI",21.3069857,-157.8584319,400.8492
"Westchester County,NY",41.1220194,-73.7948516,277.1793
"Milwaukee County,WI",43.03879490000001,-87.9065334,88.1959
"Fresno County,CA",36.9858984,-119.2320784,96.4737
"Shelby County,TN",35.1268552,-89.9253233,67.9339
"Fulton County,GA",33.8033965,-84.3962535,119.008
"Mecklenburg County,NC",35.2632655,-80.8543847,97.132
"Erie County,NY",42.9023958,-78.8661589,85.6877
"Du Page County,IL",41.8243831,-88.0900762,144.7754
"Fairfield County,CT",41.2559654,-73.37086959999999,251.3421
"Pinellas County,FL",27.876394,-82.7778579,96.6113
"Bergen County,NJ",40.9262762,-74.07701,231.2232
"Wake County,NC",35.8031909,-78.5660852,106.0025
"Hartford County,CT",41.7924343,-72.8042797,144.5173
"Duval County,FL",30.3500511,-81.6035062,76.93
"Prince Georges County,MD",38.78492110000001,-76.8720961,135.9361
"New Haven County,CT",41.3266911,-72.8042797,151.3284
"Macomb County,MI",42.7168759,-82.82097399999999,62.3774
"Kern County,CA",35.4937274,-118.8596804,84.4028
