geocode,lat,lng,price_sqft
"Los Angeles County,CA",34.0522265,-118.2436596,241.9855
"Cook County,IL",41.7376587,-87.697554,143.4528
"Maricopa County,AZ",33.2917968,-112.4291464,87.165
"San Diego County,CA",32.7157305,-117.1610966,208.0316
"Orange County,CA",33.7174708,-117.8311428,273.8063
"Kings County,NY",40.6781784,-73.9441579,323.8747
"Miami-Dade County,FL",25.7616798,-80.1917902,104.7658
"Dallas County,TX",32.8024682,-96.83509989999999,66.3268
"Queens County,NY",40.7282239,-73.7948516,349.6264
"Riverside County,CA",33.9532966,-117.3961192,106.7148
"San Bernardino County,CA",34.9592083,-116.419389,109.3464
"Clark County,NV",36.0795613,-115.094045,73.8438
"King County,WA",47.5480339,-121.9836029,210.5483
"Wayne County,MI",42.2790746,-83.33618799999999,55.2644
"Tarrant County,TX",32.7732044,-97.35165579999999,69.3179
"Santa Clara County,CA",37.3336581,-121.8907041,339.6034
"Broward County,FL",26.190096,-80.365865,104.6954
"New York County,NY",40.7830603,-73.9712488,
"Philadelphia County,PA",40.0152766,-75.1311874,118.1251
"Alameda County,CA",37.6016892,-121.7195459,261.0406
"Middlesex County,MA",42.467206,-71.2874209,216.3383
"Suffolk County,NY",40.9848784,-72.61511689999999,228.1024
"Sacramento County,CA",38.47467,-121.3541631,105.5396
"Bronx County,NY",40.8370495,-73.86542949999999,207.6111
"Nassau County,NY",40.6546145,-73.55941279999999,267.7506
"Palm Beach County,FL",26.6514503,-80.2767327,109.6948
"Cuyahoga County,OH",41.433923,-81.67582,74.7967
"Hillsborough County,FL",27.9903597,-82.3017728,79.6157
"Allegheny County,PA",40.4450813,-80.0087746,89.9593
"Oakland County,MI",42.59219239999999,-83.33618799999999,87.3243
"Franklin County,OH",40.0154745,-82.99316069999999,90.0614
"Hennepin County,MN",45.0208911,-93.5094574,138.7606
"Orange County,FL",28.4844995,-81.2518833,73.0672
"Fairfax County,VA",38.9085472,-77.2405153,271.3385
"Contra Costa County,CA",37.8534093,-121.9017954,175.5127
"Saint Louis County,MO",38.6103023,-90.4125181,115.06200000000001
"Pima County,AZ",32.057499,-111.6660725,88.6976
"Montgomery County,MD",39.1547426,-77.2405153,257.6121
"Honolulu County,HI",21.3069857,-157.8584319,381.9009
"Westchester County,NY",41.1220194,-73.7948516,274.0612
"Milwaukee County,WI",43.03879490000001,-87.9065334,82.1631
"Fresno County,CA",36.9858984,-119.2320784,96.2906
"Shelby County,TN",35.1268552,-89.9253233,62.5836
"Fulton County,GA",33.8033965,-84.3962535,113.2594
"Mecklenburg County,NC",35.2632655,-80.8543847,86.8979
"Erie County,NY",42.9023958,-78.8661589,87.8266
"Du Page County,IL",41.8243831,-88.0900762,144.8811
"Fairfield County,CT",41.2559654,-73.37086959999999,203.3992
"Pinellas County,FL",27.876394,-82.7778579,91.6893
"Bergen County,NJ",40.9262762,-74.07701,224.6066
"Wake County,NC",35.8031909,-78.5660852,102.7521
"Hartford County,CT",41.7924343,-72.8042797,141.0358
"Duval County,FL",30.3500511,-81.6035062,75.0756
"Prince Georges County,MD",38.78492110000001,-76.8720961,129.0196
"New Haven County,CT",41.3266911,-72.8042797,146.8571
"Macomb County,MI",42.7168759,-82.82097399999999,68.9781
"Kern County,CA",35.4937274,-118.8596804,84.4479
"Ventura County,CA",34.3704884,-119.1390642,222.6853
"Middlesex County,NJ",40.4111363,-74.35874729999999,175.5445
"Gwinnett County,GA",33.9190653,-84.01674229999999,65.0277
"San Francisco County,CA",37.7749073,-122.4193878,485.1049
"Baltimore County,MD",39.4647665,-76.7336521,147.2386
"Hamilton County,OH",39.2355447,-84.56414699999999,78.7163
"Montgomery County,PA",40.2290075,-75.3878525,139.7899
"Worcester County,MA",42.4096528,-71.8571331,145.4598
"Pierce County,WA",47.0675877,-122.1295269,115.0558
"Essex County,NJ",40.7947466,-74.2648829,185.4932
"Collin County,TX",33.1795213,-96.49297969999999,82.5325
