geocode,lat,lng,price_sqft
"Los Angeles County,CA",34.0522265,-118.2436596,315.8714
"Cook County,IL",41.7376587,-87.697554,172.4427
"Maricopa County,AZ",33.2917968,-112.4291464,123.1922
"San Diego County,CA",32.7157305,-117.1610966,317.3944
"Orange County,CA",33.7174708,-117.8311428,364.99800000000005
"Kings County,NY",40.6781784,-73.9441579,278.4674
"Miami-Dade County,FL",25.7616798,-80.1917902,156.6681
"Dallas County,TX",32.8024682,-96.83509989999999,79.9585
"Queens County,NY",40.7282239,-73.7948516,289.6906
"Riverside County,CA",33.9532966,-117.3961192,200.3833
"San Bernardino County,CA",34.9592083,-116.419389,189.4906
"Clark County,NV",36.0795613,-115.094045,169.9589
"King County,WA",47.5480339,-121.9836029,183.399
"Wayne County,MI",42.2790746,-83.33618799999999,113.0945
"Tarrant County,TX",32.7732044,-97.35165579999999,73.8524
"Santa Clara County,CA",37.3336581,-121.8907041,437.8119
"Broward County,FL",26.190096,-80.365865,166.1548
"New York County,NY",40.7830603,-73.9712488,
"Philadelphia County,PA",40.0152766,-75.1311874,119.1339
"Alameda County,CA",37.6016892,-121.7195459,386.8407
"Middlesex County,MA",42.467206,-71.2874209,233.24599999999998
"Suffolk County,NY",40.9848784,-72.61511689999999,266.767
"Sacramento County,CA",38.47467,-121.3541631,222.6607
"Bronx County,NY",40.8370495,-73.86542949999999,231.1659
"Nassau County,NY",40.6546145,-73.55941279999999,288.6547
"Palm Beach County,FL",26.6514503,-80.2767327,170.8337
"Cuyahoga County,OH",41.433923,-81.67582,87.8946
"Hillsborough County,FL",27.9903597,-82.3017728,110.2754
"Allegheny County,PA",40.4450813,-80.0087746,79.1183
"Oakland County,MI",42.59219239999999,-83.33618799999999,130.5435
"Franklin County,OH",40.0154745,-82.99316069999999,97.9583
"Hennepin County,MN",45.0208911,-93.5094574,165.8999
"Orange County,FL",28.4844995,-81.2518833,116.1114
"Fairfax County,VA",38.9085472,-77.2405153,282.3336
"Contra Costa County,CA",37.8534093,-121.9017954,323.6114
"Saint Louis County,MO",38.6103023,-90.4125181,116.2273
"Pima County,AZ",32.057499,-111.6660725,118.3439
"Montgomery County,MD",39.1547426,-77.2405153,270.58099999999996
"Honolulu County,HI",21.3069857,-157.8584319,319.552
"Westchester County,NY",41.1220194,-73.7948516,314.1535
"Milwaukee County,WI",43.03879490000001,-87.9065334,103.0061
"Fresno County,CA",36.9858984,-119.2320784,160.6501
"Shelby County,TN",35.1268552,-89.9253233,73.0071
"Fulton County,GA",33.8033965,-84.3962535,110.7465
"Mecklenburg County,NC",35.2632655,-80.8543847,89.4869
"Erie County,NY",42.9023958,-78.8661589,73.3555
"Du Page County,IL",41.8243831,-88.0900762,160.8696
"Fairfield County,CT",41.2559654,-73.37086959999999,243.9173
"Pinellas County,FL",27.876394,-82.7778579,131.6727
"Bergen County,NJ",40.9262762,-74.07701,263.6705
"Wake County,NC",35.8031909,-78.5660852,98.3637
"Hartford County,CT",41.7924343,-72.8042797,144.4007
"Duval County,FL",30.3500511,-81.6035062,98.6229
"Prince Georges County,MD",38.78492110000001,-76.8720961,176.8708
"New Haven County,CT",41.3266911,-72.8042797,155.8171
"Macomb County,MI",42.7168759,-82.82097399999999,119.8048
"Kern County,CA",35.4937274,-118.8596804,142.8164
"Ventura County,CA",34.3704884,-119.1390642,312.5481
"Middlesex County,NJ",40.4111363,-74.35874729999999,191.7476
"Gwinnett County,GA",33.9190653,-84.01674229999999,84.7638
"San Francisco County,CA",37.7749073,-122.4193878,561.0758
"Baltimore County,MD",39.4647665,-76.7336521,149.0757
"Hamilton County,OH",39.2355447,-84.56414699999999,93.1958
"Montgomery County,PA",40.2290075,-75.3878525,143.6642
"Worcester County,MA",42.4096528,-71.8571331,170.2336
"Pierce County,WA",47.0675877,-122.1295269,128.5976
"Essex County,NJ",40.7947466,-74.2648829,141.6747
"Collin County,TX",33.1795213,-96.49297969999999,82.1567
"Monroe County,NY",43.2841246,-77.7452081,79.5368
"Essex County,MA",42.7051144,-70.90712359999999,214.2726
"Jefferson County,KY",38.1938097,-85.64348700000001,93.9726
"Multnomah County,OR",45.5145659,-122.5863212,144.6271
"Suffolk County,MA",42.3522866,-71.0504229,237.2006
"Oklahoma County,OK",35.6038323,-97.35165579999999,68.6615
"San Mateo County,CA",37.4337342,-122.4014193,548.5595
"Snohomish County,WA",48.0329979,-121.8339472,157.6655
"Lake County,IL",42.3689363,-87.8271534,141.0767
"Dekalb County,GA",33.7956441,-84.2278796,100.8772
"Cobb County,GA",33.8999297,-84.56414699999999,100.0943
"San Joaquin County,CA",37.9175935,-121.1710389,215.6169
"Will County,IL",41.5054724,-88.0900762,114.3703
"Norfolk County,MA",42.17668,-71.1448516,238.4752
"Denton County,TX",33.1418611,-97.179026,82.6266
"Jefferson County,AL",33.4914122,-86.9824288,65.4382
"Hudson County,NJ",40.7453199,-74.05351259999999,209.6717
"Monmouth County,NJ",40.2589455,-74.12399599999999,205.2989
"Davidson County,TN",36.1342563,-86.8220341,86.8653
"Providence County,RI",41.8881582,-71.4774291,182.2289
"Bucks County,PA",40.4107964,-75.2479061,154.5058
"El Paso County,CO",38.9108325,-104.4723301,103.0733
"Baltimore City County,MD",39.3994936,-76.60684990000001,96.4504
"Lee County,FL",26.6630286,-81.9534815,137.5401
"Tulsa County,OK",36.1593471,-95.94097099999999,70.9878
"Kent County,MI",43.0097027,-85.52002399999999,82.1077
"Polk County,FL",27.8617347,-81.6911559,94.0541
"District of Columbia County,DC",38.8588633,-76.89885559999999,239.8482
"Denver County,CO",39.76161889999999,-104.9622498,170.8022
"Ocean County,NJ",39.9652553,-74.3118212,169.1859
