geocode,lat,lng,price_sqft
"Los Angeles County,CA",34.0522265,-118.2436596,362.9792
"Cook County,IL",41.7376587,-87.697554,196.1922
"Maricopa County,AZ",33.2917968,-112.4291464,156.8869
"San Diego County,CA",32.7157305,-117.1610966,333.3465
"Orange County,CA",33.7174708,-117.8311428,410.2639
"Kings County,NY",40.6781784,-73.9441579,304.5402
"Miami-Dade County,FL",25.7616798,-80.1917902,179.9145
"Dallas County,TX",32.8024682,-96.83509989999999,81.1825
"Queens County,NY",40.7282239,-73.7948516,321.2626
"Riverside County,CA",33.9532966,-117.3961192,217.6683
"San Bernardino County,CA",34.9592083,-116.419389,217.02700000000002
"Clark County,NV",36.0795613,-115.094045,180.8054
"King County,WA",47.5480339,-121.9836029,204.2521
"Wayne County,MI",42.2790746,-83.33618799999999,118.9594
"Tarrant County,TX",32.7732044,-97.35165579999999,75.653
"Santa Clara County,CA",37.3336581,-121.8907041,466.085
"Broward County,FL",26.190096,-80.365865,197.5095
"New York County,NY",40.7830603,-73.9712488,
"Philadelphia County,PA",40.0152766,-75.1311874,133.2846
"Alameda County,CA",37.6016892,-121.7195459,428.0375
"Middlesex County,MA",42.467206,-71.2874209,255.176
"Suffolk County,NY",40.9848784,-72.61511689999999,294.5383
"Sacramento County,CA",38.47467,-121.3541631,245.1718
"Bronx County,NY",40.8370495,-73.86542949999999,242.4102
"Nassau County,NY",40.6546145,-73.55941279999999,320.5836
"Palm Beach County,FL",26.6514503,-80.2767327,196.648
"Cuyahoga County,OH",41.433923,-81.67582,95.1466
"Hillsborough County,FL",27.9903597,-82.3017728,129.9136
"Allegheny County,PA",40.4450813,-80.0087746,82.425
"Oakland County,MI",42.59219239999999,-83.33618799999999,138.0918
"Franklin County,OH",40.0154745,-82.99316069999999,104.4275
"Hennepin County,MN",45.0208911,-93.5094574,181.329
"Orange County,FL",28.4844995,-81.2518833,141.5336
"Fairfax County,VA",38.9085472,-77.2405153,324.0454
"Contra Costa County,CA",37.8534093,-121.9017954,362.0413
"Saint Louis County,MO",38.6103023,-90.4125181,122.6347
"Pima County,AZ",32.057499,-111.6660725,137.2097
"Montgomery County,MD",39.1547426,-77.2405153,310.562
"Honolulu County,HI",21.3069857,-157.8584319,366.76
"Westchester County,NY",41.1220194,-73.7948516,344.4655
"Milwaukee County,WI",43.03879490000001,-87.9065334,118.2194
"Fresno County,CA",36.9858984,-119.2320784,184.9265
"Shelby County,TN",35.1268552,-89.9253233,77.2351
"Fulton County,GA",33.8033965,-84.3962535,117.7352
"Mecklenburg County,NC",35.2632655,-80.8543847,91.2731
"Erie County,NY",42.9023958,-78.8661589,85.7446
"Du Page County,IL",41.8243831,-88.0900762,169.5151
"Fairfield County,CT",41.2559654,-73.37086959999999,270.1816
"Pinellas County,FL",27.876394,-82.7778579,151.2654
"Bergen County,NJ",40.9262762,-74.07701,292.6717
"Wake County,NC",35.8031909,-78.5660852,102.0481
"Hartford County,CT",41.7924343,-72.8042797,155.3873
"Duval County,FL",30.3500511,-81.6035062,109.1597
"Prince Georges County,MD",38.78492110000001,-76.8720961,209.0965
"New Haven County,CT",41.3266911,-72.8042797,175.3541
"Macomb County,MI",42.7168759,-82.82097399999999,124.0695
"Kern County,CA",35.4937274,-118.8596804,176.4293
"Ventura County,CA",34.3704884,-119.1390642,340.2606
"Middlesex County,NJ",40.4111363,-74.35874729999999,220.3906
"Gwinnett County,GA",33.9190653,-84.01674229999999,87.2748
"San Francisco County,CA",37.7749073,-122.4193878,590.5979
"Baltimore County,MD",39.4647665,-76.7336521,176.2071
"Hamilton County,OH",39.2355447,-84.56414699999999,99.2116
"Montgomery County,PA",40.2290075,-75.3878525,154.5118
"Worcester County,MA",42.4096528,-71.8571331,186.1954
"Pierce County,WA",47.0675877,-122.1295269,145.9014
"Essex County,NJ",40.7947466,-74.2648829,188.8752
"Collin County,TX",33.1795213,-96.49297969999999,83.4942
"Monroe County,NY",43.2841246,-77.7452081,84.8283
"Essex County,MA",42.7051144,-70.90712359999999,235.7287
