geocode,lat,lng,price_sqft
"Los Angeles County,CA",34.0522265,-118.2436596,138.5903
"Cook County,IL",41.7376587,-87.697554,117.0028
"Maricopa County,AZ",33.2917968,-112.4291464,79.0433
"San Diego County,CA",32.7157305,-117.1610966,129.6092
"Orange County,CA",33.7174708,-117.8311428,156.75799999999998
"Kings County,NY",40.6781784,-73.9441579,133.8066
"Miami-Dade County,FL",25.7616798,-80.1917902,75.8788
"Dallas County,TX",32.8024682,-96.83509989999999,64.1203
"Queens County,NY",40.7282239,-73.7948516,135.8209
"Riverside County,CA",33.9532966,-117.3961192,85.2464
"San Bernardino County,CA",34.9592083,-116.419389,80.5465
"Clark County,NV",36.0795613,-115.094045,82.2216
"King County,WA",47.5480339,-121.9836029,129.162
"Wayne County,MI",42.2790746,-83.33618799999999,92.5504
"Tarrant County,TX",32.7732044,-97.35165579999999,60.5917
"Santa Clara County,CA",37.3336581,-121.8907041,234.0657
"Broward County,FL",26.190096,-80.365865,73.6475
"New York County,NY",40.7830603,-73.9712488,
"Philadelphia County,PA",40.0152766,-75.1311874,59.7435
"Alameda County,CA",37.6016892,-121.7195459,183.4459
"Middlesex County,MA",42.467206,-71.2874209,139.7314
"Suffolk County,NY",40.9848784,-72.61511689999999,122.031
"Sacramento County,CA",38.47467,-121.3541631,91.6121
"Bronx County,NY",40.8370495,-73.86542949999999,110.2172
"Nassau County,NY",40.6546145,-73.55941279999999,141.9911
"Palm Beach County,FL",26.6514503,-80.2767327,79.3354
"Cuyahoga County,OH",41.433923,-81.67582,76.0532
"Hillsborough County,FL",27.9903597,-82.3017728,65.9165
"Allegheny County,PA",40.4450813,-80.0087746,64.9696
"Oakland County,MI",42.59219239999999,-83.33618799999999,104.9168
"Franklin County,OH",40.0154745,-82.99316069999999,83.2129
"Hennepin County,MN",45.0208911,-93.5094574,95.5198
"Orange County,FL",28.4844995,-81.2518833,66.8882
"Fairfax County,VA",38.9085472,-77.2405153,134.6525
"Contra Costa County,CA",37.8534093,-121.9017954,146.9195
"Saint Louis County,MO",38.6103023,-90.4125181,87.4993
"Pima County,AZ",32.057499,-111.6660725,76.6997
"Montgomery County,MD",39.1547426,-77.2405153,128.6973
"Honolulu County,HI",21.3069857,-157.8584319,176.25
"Westchester County,NY",41.1220194,-73.7948516,158.9798
"Milwaukee County,WI",43.03879490000001,-87.9065334,69.7824
"Fresno County,CA",36.9858984,-119.2320784,68.6034
"Shelby County,TN",35.1268552,-89.9253233,64.2142
"Fulton County,GA",33.8033965,-84.3962535,84.98100000000001
"Mecklenburg County,NC",35.2632655,-80.8543847,80.0578
"Erie County,NY",42.9023958,-78.8661589,58.4446
"Du Page County,IL",41.8243831,-88.0900762,106.3736
"Fairfield County,CT",41.2559654,-73.37086959999999,143.2846
"Pinellas County,FL",27.876394,-82.7778579,69.848
"Bergen County,NJ",40.9262762,-74.07701,141.005
"Wake County,NC",35.8031909,-78.5660852,87.9097
"Hartford County,CT",41.7924343,-72.8042797,91.0984
"Duval County,FL",30.3500511,-81.6035062,60.3942
"Prince Georges County,MD",38.78492110000001,-76.8720961,93.4198
"New Haven County,CT",41.3266911,-72.8042797,93.0962
"Macomb County,MI",42.7168759,-82.82097399999999,100.5637
"Kern County,CA",35.4937274,-118.8596804,64.643
"Ventura County,CA",34.3704884,-119.1390642,143.6961
"Middlesex County,NJ",40.4111363,-74.35874729999999,89.5145
"Gwinnett County,GA",33.9190653,-84.01674229999999,67.7064
"San Francisco County,CA",37.7749073,-122.4193878,275.1851
"Baltimore County,MD",39.4647665,-76.7336521,86.1367
"Hamilton County,OH",39.2355447,-84.56414699999999,76.5648
"Montgomery County,PA",40.2290075,-75.3878525,84.1873
"Worcester County,MA",42.4096528,-71.8571331,95.5886
"Pierce County,WA",47.0675877,-122.1295269,89.8212
"Essex County,NJ",40.7947466,-74.2648829,101.355
"Collin County,TX",33.1795213,-96.49297969999999,71.5896
"Monroe County,NY",43.2841246,-77.7452081,66.1558
"Essex County,MA",42.7051144,-70.90712359999999,121.8796
"Jefferson County,KY",38.1938097,-85.64348700000001,77.8772
"Multnomah County,OR",45.5145659,-122.5863212,107.2078
"Suffolk County,MA",42.3522866,-71.0504229,122.0614
"Oklahoma County,OK",35.6038323,-97.35165579999999,52.1861
"San Mateo County,CA",37.4337342,-122.4014193,285.3385
"Snohomish County,WA",48.0329979,-121.8339472,118.7057
"Lake County,IL",42.3689363,-87.8271534,108.126
"Dekalb County,GA",33.7956441,-84.2278796,72.3025
"Cobb County,GA",33.8999297,-84.56414699999999,77.0648
"San Joaquin County,CA",37.9175935,-121.1710389,92.1589
"Will County,IL",41.5054724,-88.0900762,87.0638
"Norfolk County,MA",42.17668,-71.1448516,134.1429
"Denton County,TX",33.1418611,-97.179026,68.7237
"Jefferson County,AL",33.4914122,-86.9824288,62.1436
"Hudson County,NJ",40.7453199,-74.05351259999999,94.2157
"Monmouth County,NJ",40.2589455,-74.12399599999999,104.559
"Davidson County,TN",36.1342563,-86.8220341,74.1231
"Providence County,RI",41.8881582,-71.4774291,85.9444
"Bucks County,PA",40.4107964,-75.2479061,90.0938
"El Paso County,CO",38.9108325,-104.4723301,76.6587
"Baltimore City County,MD",39.3994936,-76.60684990000001,63.707
"Lee County,FL",26.6630286,-81.9534815,68.3521
"Tulsa County,OK",36.1593471,-95.94097099999999,57.4415
"Kent County,MI",43.0097027,-85.52002399999999,64.8846
"Polk County,FL",27.8617347,-81.6911559,54.9528
"District of Columbia County,DC",38.8588633,-76.89885559999999,142.2807
"Denver County,CO",39.76161889999999,-104.9622498,118.6578
"Ocean County,NJ",39.9652553,-74.3118212,85.852
"Arapahoe County,CO",39.62031,-104.332644,113.4132
"Delaware County,PA",39.907793,-75.3878525,77.9317
"Bristol County,MA",41.7938406,-71.1448516,97.8838
"Brevard County,FL",28.263933,-80.7214417,59.7942
"Summit County,OH",41.0918991,-81.5596427,77.2945
"New Castle County,DE",39.5392979,-75.667356,87.0065
"Anne Arundel County,MD",38.9530109,-76.5488232,102.6407
"Union County,NJ",40.6595001,-74.2883536,108.9085
"Montgomery County,OH",39.7620028,-84.3542049,66.8803
"Jefferson County,CO",39.5800298,-105.2662931,110.0391
"Washington County,OR",45.5469616,-123.1386021,105.6903
"Lancaster County,PA",40.0466571,-76.17837390000001,72.9513
"Douglas County,NE",41.3148116,-96.19513200000002,78.8447
"Kane County,IL",41.987884,-88.4016041,94.7533
"Stanislaus County,CA",37.5090711,-120.9876321,82.1427
"Camden County,NJ",39.8592439,-75.0143824,64.0731
"Ramsey County,MN",44.9963986,-93.0615978,85.0333
"Passaic County,NJ",41.1231647,-74.35874729999999,103.2218
"Chester County,PA",40.0010204,-75.8069082,87.10700000000001
