"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02"
"Delaware","NY",,"36","025",450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249000,245000,201250,2e+05,199950,199000,189900,184000,175000,179000,179000,175000,179000,177000,175000,175000,184450,179000,179000,185000,179000
"Carroll","NH",,"33","003",451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448000,499900,498950,498950,529900,499000,549450,549900,549950,589000,562450,575000,575000
"Franklin","VT","Burlington","50","011",452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214950,202250,197750,2e+05,209000,235000,249900,242450,254900,242450,227000,249900
"Iron","UT","Cedar City","49","021",453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289900,249900,285950,289900,282000,249900,287400,294000,335500,355725,327000,326000,312500,349900,337450,349999,325000,319500,324000,314950,275000,277000,275000,294000,315000,332000,299000,299000,324900
"Campbell","WY","Gillette","56","005",454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329000,306000,315500,317250,290000,309900,331117,290000,291500,294900,314900,305000,312450,317400
"Bingham","ID","Blackfoot","16","011",455,272000,247000,263450,257000,255000,249000,234900,239000,235000,229200,219900,220900,217950,215450,215450,213000,249000,229000,221000,222000,219000,212450,195000,198900,196000,210000,197500,216400,227950,224950,244900,239000,239700,225000,230000,230000,230000,219000,207500,210000,214000,212000,211000,210000,213450,213450,202500,2e+05,197450,205450,187000,212000,209000,219250,214500,222000,210000,2e+05,195000,195000,195000,195000,190000,214000,211200,206500,209000,214900,198400,202450,238500,255000,255000,255000
"Lincoln","SD","Sioux Falls","46","083",456,,,,,,,,,,,,,,,,,,,,,,,,,,,,395000,395000,399000,377450,380000,349000,349000,327450,330000,342400,347450,337450,339950,369900,349949.5,369900,414700,399000,399900,394450,389900,398888.5,399900,399900,424950,449900,445000,427497.5,429872.5,436997.5,432497.5,449900,449900,481950,485000,449950,449900,480000,548950,479500,480000,548000,480000,548950,550000,554900,584900
"Windham","VT",,"50","025",457,,,,,,,,,,,,,,,,,,,425000,497000,474500,499000,489000,469000,454000,397000,397000,390000,397000,439000,439000,385000,439000,385000,382000,385000,379000,404000,399000,399000,427000,444000,425000,434000,399000,399000,399000,412000,397000,429000,379000,377000,379500,409000,429000,427000,427000,409000,422000,449000,399950,454000,449000,419000,399000,399000,399000,384500,380000,392000,397000,399000,425000,475000
"Camden","MO",,"29","029",458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599900,549950,569000,564900,632000,640000,627450,612450,624900,629900,624900,624900,619900,599900,599900,624900,649950,629000,650000,662500,649900,699900,675000,662375,650000,649450,624900,631950,649900,639000,599450,675000,675000,675000,698250,599900,550000,545000,545000,545000,599900,542000,499000
"Sullivan","NH","Claremont","33","019",459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187950,179900,159900,179900,179000,179000,169450,159450,155500,164400,149900,150000,162000,179250,189000,179500,169900,169900,174900,165000,149900,154200
