"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02"
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA","06","037",1,1.81298293205782,1.9,1.98458333333333,1.98931116389549,1.96898496240601,1.92307692307692,1.91228070175439,1.89655172413793,1.8133535660091,1.85,1.89628933504759,1.84357541899441,1.875,1.89716312056738,1.88519051838724,1.9238578680203,1.92621464829587,1.86179646936656,1.85840707964602,1.8125,1.7375,1.85,1.81099018352539,1.86666666666667,1.94647647074143,2,1.98047419804742,1.97658402203857,1.9859649122807,1.97628458498024,1.9338688085676,1.94117647058824,2.02808988764045,2.00712589073634,1.98058252427184,1.99672667757774,2.06766055045872,2.13055072463768,2.09685230024213,2.15438108484006,2.13304721030043,2.11525148630885,2.11141678129298,2.12666666666667,2.19801085113598,2.1,2.2,2.14615384615385,2.10777777777778,2.09090909090909,2.13571428571429,2.28503184713376,2.30458579095595,2.35,2.35585427426022,2.39866666666667,2.39880059970015,2.39442767398221,2.42434785228026,2.45382909995586,2.5,2.46950136612022,2.49075975359343,2.50502010032232,2.56147540983607,2.57062146892655,2.62332439678284,2.64705882352941,2.60989010989011,2.72727272727273,2.64104753521127,2.70014836795252,2.74896265560166
"Cook","IL","Chicago","17","031",2,,1.68118842364532,1.67752100840336,1.62727272727273,1.61616161616162,1.7214647411853,1.46115151515152,1.65929203539823,1.71862634256642,1.76470588235294,1.76835088522589,1.73717948717949,1.75395833333333,1.7563117453348,1.82352941176471,1.84222222222222,1.86349520045172,1.86366797319509,1.88542471042471,1.92333333333333,1.88888888888889,1.89093370681606,1.90612777053455,1.90618888526728,1.87647058823529,1.82357337553856,1.82120811287478,1.96875,1.97875,1.9759082763115,1.97916666666667,2.03,1.98773006134969,1.93575757575758,1.95131944444444,1.95086705202312,2.0948275862069,2.10727969348659,2.15435346253381,2.15454545454545,2.19562443064704,2.20607661822985,2.18938307030129,2.22841225626741,2.16380449141347,2.15625,2.19454329774614,2.15257632921121,2.1,2.11187214611872,2.11360634081902,2.19363067979842,2.26310380267215,2.34311224489796,2.21533389996108,2.3125,2.28200511288026,2.22222222222222,2.1181001283697,2.22361111111111,2.35040745052387,2.24324324324324,2.22941176470588,2.25806451612903,2.23618784530387,2.21193666260658,2.14477211796247,2.29485179407176,2.37350993377483,2.46486486486487,2.38158610353687,2.34173728813559,2.42229992229992
"Harris","TX","Houston","48","201",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.47386703178854,1.27788461538462,1.45040840140023,1.2835883479031,1.26297577854671,1.2893399931694,1.43410852713178,1.43995098039216,1.39651009657594,1.36887112403101,1.4367816091954,1.46025878003697,1.3903743315508,1.41065830721003,1.41073455901042,1.41353383458647,1.41070750158296,1.45029313232831,1.46212114025518,1.47360593233459,1.46256629555765,1.48139270622492,1.50227479526843,1.49142857142857,1.69135890977201,1.67457627118644,1.68946994085498,1.60106899823333
"Maricopa","AZ","Phoenix","04","013",4,,,,0.9,0.981481481481482,0.961628546226227,0.954933630372227,0.998751560549313,1.06117353308365,1.03421807211701,1.00942126514132,0.945273631840796,0.931666666666667,0.930805025922883,0.964630225080386,0.981833553282745,0.969912790697674,0.92891760904685,0.934579439252336,0.939421906481856,0.93006993006993,0.926829268292683,0.927595628415301,0.918478260869565,0.938,0.944742329460828,0.946123521681997,0.946712947972938,0.94623190685966,0.950196592398427,0.961538461538462,0.967692307692308,0.965,0.957423580786026,0.947712418300654,0.95244377434351,0.960219478737997,0.964444444444444,0.965174129353234,0.963235294117647,0.967661691542289,0.976130653266332,0.989573330917656,1.0066179337232,1.00588235294118,1,1.00942126514132,1.0472972972973,1.05,1.04918032786885,1.05899186208373,1.04417473723336,1.05,1.05606060606061,1.05999905381228,1.05999905381228,1.06069802731411,1.0625,1.07126984126984,1.06763537785209,1.09365123889668,1.09515769106527,1.125,1.12219451371571,1.12706480304956,1.13031914893617,1.15259365700542,1.15870307167235,1.15838938714499,1.22,1.27507441872938,1.25868055555556,1.26706114398422
"San Diego","CA","San Diego","06","073",5,,,,,,,,,1.7935368043088,1.79830747531735,1.8417120936806,1.82352941176471,1.82340565959904,1.77415494817456,1.6705069124424,1.68181818181818,1.77469135802469,1.78971016749338,1.80042372881356,1.83333333333333,1.80970643939394,1.8125,1.8332238282961,1.85335543039874,1.87641247641248,1.89230769230769,1.85,1.82328190743338,1.86315151515152,1.86659086815562,1.90720509155265,1.93388429752066,1.90677966101695,1.94594750810783,1.91641182466871,1.78963875879162,1.85,1.85475268817204,1.89905377750585,1.84659090909091,1.84615384615385,1.72770700636943,1.81623931623932,2.03480629539952,1.9702499447025,1.90247733882438,2.08333333333333,2.09720405209841,2.06953642384106,2.06047770106363,2.12335386287474,2.24100665805426,2.24419889502762,2.24017172443148,2.22964206845786,2.25846925972396,2.29779411764706,2.325,2.27722772277228,2.32984293193717,2.35575827577808,2.29591915414494,2.33544303797468,2.35537190082645,2.39335196734611,2.40997229916898,2.42210254854369,2.46194029850746,2.43445692883895,2.44451951951952,2.45590230664858,2.44969512195122,2.43929771987377
"Orange","CA","Los Angeles-Long Beach-Anaheim, CA","06","059",6,1.87504662439388,1.78980850582879,1.80677966101695,1.83357879234168,1.86104218362283,1.98110150684421,1.89604808894896,1.76331846816887,1.79049191693138,1.84473590925204,1.79668049792531,1.73319327731092,1.74233128834356,1.74198250728863,1.73942701227831,1.80138278356582,1.80769230769231,1.81428571428571,1.81265206812652,1.79948586118252,1.79012345679012,1.80966405629327,1.83322798145807,1.86533333333333,1.86153846153846,1.86666666666667,1.85846695821186,1.86908133521392,1.89560312999757,1.91358024691358,1.92533333333333,1.98036402569593,1.94306722689076,1.90324034993477,1.9181946403385,1.92857142857143,1.94666666666667,1.98665048543689,1.96837513631407,1.9572192513369,1.9663476484434,1.90545454545455,1.96295650131402,2.00240577385726,1.99252801992528,2.04166666666667,2.23333333333333,2.212,2.22147651006711,2.21379310344828,2.21698113207547,2.18790584415584,2.19180042887182,2.20138888888889,2.25165562913907,2.34547461368653,2.43036211699164,2.4375,2.41082410824108,2.40727513227513,2.40604715672677,2.40460655850232,2.40714285714286,2.42567777992879,2.41355463347165,2.41677837354781,2.44169096209913,2.43831640058055,2.45336043741805,2.43790820029028,2.48161764705882,2.49092008354403,2.48567335243553
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",7,1.97420387461545,1.89633375474083,1.86416316213032,1.84049079754601,1.84245289577974,1.82830762038336,1.89873417721519,1.99363373668051,1.94565217391304,1.89445196211096,1.87409942363112,1.84615384615385,1.81770980836401,1.83215130023641,1.84348789472969,1.86298076923077,1.89542483660131,1.86855670103093,1.86,1.87734806629834,1.86170212765957,1.87878787878788,1.91010710777324,1.90909090909091,1.91082802547771,1.93214493642477,1.95928063667074,1.99386503067485,2,1.98891958256599,1.98675496688742,1.98581560283688,1.93464052287582,1.92965517241379,1.94732964477125,1.94444444444444,1.96969696969697,2,2.04369617534159,2.06052281052281,2.14082387496827,2.23214285714286,2.22929936305732,2.17391304347826,2.18181818181818,2.19298245614035,2.21153846153846,2.17640320733104,2.17948717948718,2.1505376344086,2.12045937561071,2.20048899755501,2.20994475138122,2.22222222222222,2.23529411764706,2.2265625,2.21098462970094,2.23880597014925,2.23797121773682,2.24242424242424,2.29990800367985,2.35191637630662,2.36728837876614,2.41379310344828,2.44233378561737,2.43605359317905,2.46666666666667,2.43581069359148,2.40384615384615,2.42825607064018,2.42089471688206,2.43572395128552,2.4366856640217
"Dallas","TX","Dallas-Fort Worth","48","113",8,,,,,,,,1.4197182656617,1.45480979181229,1.3166144200627,1.4050660641897,1.19926199261993,1.17738095238095,1.17159763313609,1.12649164677804,1.09260262429277,1.11825192802057,1.13879117138075,0.93951940662467,0.928801843317972,0.957416040749374,1.03177126706538,1.12363970588235,1.13161465400271,1.14978890229192,1.20500782472613,1.13081768457635,1.20901639344262,1.25563909774436,1.24223602484472,1.19047619047619,1.22731614135626,1.22731614135626,1.22641509433962,1.25,1.31927710843373,1.2799511002445,1.31019677142824,1.30834512022631,1.31932321972846,1.3559785587544,1.35574091691583,1.29828571428571,1.34966887417219,1.39684625492773,1.40969425265311,1.39733333333333,1.44647201946472,1.44029850746269,1.42679900744417,1.45283018867925,1.42512409254798,1.42110762800418,1.39570116620876,1.37311557788945,1.39517335046879,1.41176470588235,1.45333333333333,1.40417955816099,1.31613756613757,1.44177671068427,1.42727272727273,1.4765625,1.48523929410056,1.4828526396343,1.4931455399061,1.47620711304215,1.52208835341365,1.51164385746642,1.56298374613003,1.57640538400633,1.56118303571429,1.55084745762712
"Queens","NY","New York","36","081",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.61538461538462,2.60714285714286,2.58507907542579,2.57142857142857,2.55474452554745,2.58333333333333,2.625,2.625,2.58823529411765,2.63473053892216,2.66666666666667,2.625,2.60769230769231,2.54545454545455,2.56638154484189,2.585,2.61538461538462
"Riverside","CA","Riverside","06","065",10,,1.2646484375,1.27375667568563,1.25,1.4002333722287,1.25,1.27096554850408,1.25,1.26363636363636,1.29193109700816,1.378,1.26570903900715,1.25661375661376,1.28195488721805,1.35869565217391,1.37614678899083,1.33697451175108,1.28882269136122,1.28378378378378,1.27063204508857,1.26647575338049,1.27334465195246,1.27142857142857,1.31987089707678,1.3013698630137,1.31140783744557,1.30805176132279,1.27027027027027,1.29694349151896,1.31662489557226,1.32592253588978,1.32113821138211,1.31782945736434,1.32707182320442,1.30811190037709,1.27685950413223,1.28710462287105,1.29915730337079,1.29820561118271,1.30371900826446,1.27845025913285,1.25,1.24237169933061,1.29203335273773,1.34549507198547,1.31666666666667,1.32679738562091,1.36363636363636,1.34093602844604,1.2987012987013,1.31625954763769,1.41666666666667,1.39012424114076,1.39135959339263,1.3927483974359,1.41335227272727,1.4172335600907,1.43850332441124,1.4772351744925,1.48351648351648,1.50288092189501,1.48956035539216,1.49659863945578,1.49647887323944,1.49739583333333,1.52447552447552,1.53273383893102,1.54489245090749,1.55327803730893,1.55000617360168,1.60156771828448,1.60024154589372,1.61267605633803
