"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02"
"Bullitt","KY","Louisville/Jefferson County","21","029",556,,,,,,,,,,,129500,129500,120000,116250,120000,110950,117250,117000,109900,109649.5,107500,107499,107999.5,106900,106000,124900,120000,119900,109950,105499.5,114900,107500,105000,122500,114950,124350,124200,112400,116750,119950,118400,122900,128700,132400,140450,119900,112500,123900,110900,115000,123500,119250,119950,120000,124700,130950,128400,118500,118000,123400,123400,108000,104950,121400,114900,123450,118250,121900,127450,122200,119700,122500,123500,119900
"Oconee","SC","Seneca","45","073",557,145000,139900,144900,146500,145400,144900,150000,149900,150000,149500,149900,144900,139000,149000,149000,149000,147250,149000,147500,147750,147000,147500,144900,142400,144950,144950,136450,134400,134900,130000,130000,129950,129400,127000,127950,130000,130000,137000,134900,132450,137500,135000,139000,140950,139900,135000,139000,141000,133750,143000,139000,139000,141450,135000,133000,129200,124900,119900,119900,118700,124900,124950,119900,119900,125000,128000,133000,134000,139700,139800,139350,139000,129700,129900
"Augusta","VA","Staunton","51","015",558,,,,,,,,,,,,,,,,,,,,,,164900,164900,161500,159900,159950,159950,152000,149900,159900,151700,165000,149000,164900,166950,154500,169900,160000,159000,171500,171750,171750,170000,166500,165750,169900,169900,159900,159000,162450,159900,162449.5,158900,157900,149900,152450,159900,169200,154900,154900,179500,179000,176950,179000,172400,168500,174900,179000,169900,164900,154950,146950,162450,153900
"Nassau","FL","Jacksonville","12","089",559,269000,277000,269000,255000,255000,259450,255000,259425,269000,299000,279900,279000,282450,279900,295000,285000,295000,299000,299000,299000,299000,289000,285500,264900,260000,252500,260000,265000,254500,279000,269500,247500,226000,226000,199950,225000,235000,230000,225000,225000,232500,225000,225000,214000,212000,214700,219000,214700,227450,214500,225000,237000,249850,249800,245000,225000,224900,225000,222400,209000,211950,193500,197000,207000,229000,232000,229500,237000,219900,229000,229000,225000,239450,259450
"Monroe","FL","Key West","12","087",560,418900,399000,399000,399000,389900,379000,373950,375000,369000,359000,359900,359000,359900,365000,352500,369000,369450,359900,339000,329000,325000,324000,328500,339000,339000,3e+05,319000,299500,295000,295000,299000,299000,299000,295000,299700,299500,320000,324500,325000,339000,369000,369000,373700,365000,369000,349900,349900,349800,359000,365000,365000,369000,375000,361775,369000,369000,369000,375000,389000,399000,425000,420000,450000,450000,449000,449500,453500,465000,464950,475000,475000,469000,475250,479000
"Grays Harbor","WA","Aberdeen","53","027",561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128250,124900,124900,124900,123450,123450,115400,119900,122000,134900,134900,139950,140000,132950,139950,139000,145000,137950,126750,132500,121300
"Chelan","WA","Wenatchee","53","007",562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239000,214000,224700,239450,239900,249000,262900,281750,272400,259900,259900,237500,265000,259000
"Aroostook","ME",,"23","003",563,89000,89500,82500,89000,89000,93550,90400,90900,93200,92400,88900,89500,89500,91200,89900,95000,102400,98500,98500,98250,97000,94900,111500,106250,99900,99500,95000,92000,89700,89900,98000,102450,99900,114250,102450,115000,97900,97500,97500,92500,96250,97000,99000,99900,99900,99900,99000,99700,99000,99500,99000,99500,99500,99000,95000,94900,85700,82500,82500,82500,79900,82500,92900,89000,87000,88000,88000,89000,89500,89250,91700,89000,91500,88250
"Clallam","WA","Port Angeles","53","009",564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249500,259450,271950,282950,287000,285000,263500,279900,275000,249925,259000,251725,249000,249000,249000,243750,238500,235000,239000,239000,242500,250000,260750,279000,279000,281950,269950,259000
"Franklin","MA","Greenfield Town, MA","25","011",565,189000,184750,189000,189000,189000,189000,181500,174900,169950,165000,169400,169900,162400,159000,169000,169000,169000,169000,172450,176000,184900,179950,180000,169900,169900,169900,169900,159950,179000,179000,176000,173950,171450,169900,179450,181450,179450,180000,169000,171950,179900,189900,183450,176750,179000,179250,175000,163000,175000,174900,172400,179000,174500,175000,175000,179900,177500,179000,179900,177000,179000,179900,179250,179900,179900,181450,179900,188950,194100,184500,179900,183500,169950,179900
"Riley","KS","Manhattan","20","161",566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127450,127925,129400,129000,127900,120000,121250,121200,117000,105000,105000,115000
"De Kalb","AL",,"01","049",567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143850,137700,124900,122400,133500,135000,152250,159800,144950,149500,139500,139500,139700,139900,139900,135450
"Muskogee","OK","Muskogee","40","101",568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59000,59000,53900,52500,49999,49900,49900,49900,52500,54500,54900,56000,57000,58500,59000,58000,58000,57000,57000,50000,51250,49950,49250,49900,49900,51000,54950,55950,54950,56999,60500,62250,62000,61900,62500,59950,59500,59500,59000,52000,52000,54600
"Isabella","MI","Mount Pleasant","26","073",569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79900,86700,79500,68450,74950,74900,76950,75900,79900,78000,79900,83250,84000,79900,79450,78950,79900,74950,74950,77450,75000,83000,79900,83950,77000,74950,75000,73900,69999,69999,73900,74900,74900,78900
"Hancock","IN","Indianapolis","18","059",570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119750,116000,114000,111000,105000,117500,116000,102000,99925,109500,109950,104900,112500,113000,106500,109900,99000,105450,94800,91500,103950,105000,112000,122900,114000,117000,119900,118950,99900,110000,107400,109900,107000
