"Date","RegionName","State","Metro","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2016-02-29,"Henry","IL","Davenport",969,1149,0.00261780104712042,0.00261780104712042,0.0240641711229947,17455
2016-02-29,"Chenango","NY",,970,1315,0,-0.00151860288534548,-0.0810621942697414,13013
2016-02-29,"LeFlore","OK","Fort Smith",971,830,-0.0107270560190703,-0.0235294117647059,0.0641025641025641,14670
2016-02-29,"Dale","AL","Ozark, AL",972,866,-0.00574052812858783,-0.0091533180778032,-0.00345224395857307,14626
2016-02-29,"Montgomery","NY","Amsterdam",973,1335,-0.00224215246636771,-0.014760147601476,-0.0722724113968033,14345
2016-02-29,"Grundy","IL","Chicago",974,1302,0.0132295719844358,0.0333333333333333,0.202216066481994,17189
2016-02-29,"Dearborn","IN","Cincinnati",975,1110,0.00634632819582956,0.00180505415162455,-0.0009000900090009,17166
2016-02-29,"Box Elder","UT","Ogden",976,1123,0.00627240143369176,-0.00619469026548673,-0.00531443755535872,15148
2016-02-29,"Coffee","AL","Enterprise",977,870,-0.0124858115777526,-0.032258064516129,-0.0279329608938547,21802
2016-02-29,"Bristol","RI","Providence",978,2072,0.0161844041196665,0.0593047034764826,0.143487858719647,17453
2016-02-29,"Lamar","TX","Paris",979,1083,0.0121495327102804,0.0121495327102804,0.0433526011560694,14416
2016-02-29,"Bedford","PA",,980,1106,-0.00807174887892377,-0.00896057347670251,-0.0306748466257669,12607
2016-02-29,"Jackson","FL",,981,675,0.00896860986547085,0.0258358662613982,-0.0439093484419263,11311
2016-02-29,"Gibson","TN",,982,798,-0.0025,-0.0172413793103448,-0.0420168067226891,25757
2016-02-29,"Dickson","TN","Nashville",983,1011,0.00198216055500496,-0.00394088669950739,0.0305810397553517,23302
2016-02-29,"Kerr","TX","Kerrville",984,1374,0.00733137829912024,0.0192878338278932,0.0338600451467269,12493
2016-02-29,"Boyd","KY","Huntington",985,877,0.00804597701149425,0.01036866359447,0.032979976442874,14313
2016-02-29,"Henry","IN","New Castle",986,751,0.00267022696929239,-0.00661375661375661,-0.0170157068062827,18273
2016-02-29,"Shelby","OH","Sidney",987,1093,0.00275229357798165,0.00367309458218549,0.040952380952381,13378
2016-02-29,"Columbia","OR","Portland",988,1332,0.000751314800901578,0.0113895216400911,0.11092577147623,10765
2016-02-29,"Cortland","NY","Cortland",989,1349,0.000741839762611276,-0.0051622418879056,-0.0791808873720136,12219
2016-02-29,"Franklin","KY","Frankfort",990,877,0.00804597701149425,-0.00903954802259887,0.09625,17636
2016-02-29,"Greene","NY",,991,1237,0.0274086378737542,0.0483050847457627,-0.000807754442649435,20311
2016-02-29,"Clinton","IA","Clinton",992,1010,-0.00296150049358342,-0.0241545893719807,0.0306122448979592,18434
2016-02-29,"Calumet","WI","Appleton",993,1075,0.0141509433962264,0.0467380720545277,0.00655430711610487,13094
2016-02-29,"Allegany","NY",,994,1255,-0.012588512981904,-0.0278853601859024,-0.103571428571429,12752
2016-02-29,"Harrisonburg City","VA","Harrisonburg",995,1096,0.00091324200913242,0.00735294117647059,0.0204841713221601,11372
2016-02-29,"Val Verde","TX","Del Rio",996,1163,0.00692640692640693,0.00605536332179931,0.0572727272727273,10270
2016-02-29,"Elko","NV","Elko",997,1479,0.0256588072122053,0.0263705759888966,0.0256588072122053,8966
2016-02-29,"Warren","MS","Vicksburg",998,1087,0.0139925373134328,0.00834879406307978,0.0149393090569561,12529
2016-02-29,"Jessamine","KY","Lexington",999,1008,0.00598802395209581,0.0212765957446809,0.142857142857143,29993
2016-02-29,"Loudon","TN","Knoxville",1000,1086,0.00369685767097967,0.00929368029739777,0.0018450184501845,31537
2016-02-29,"Newaygo","MI",,1001,898,-0.00332963374028857,0.00898876404494382,0.0357554786620531,25847
2016-02-29,"Laurens","GA","Dublin",1002,903,-0.0033112582781457,-0.0206073752711497,-0.0434322033898305,13856
2016-02-29,"Curry","NM","Clovis",1003,1151,0.02493321460374,0.0463636363636364,0.0716945996275605,4526
2016-02-29,"Delaware","NY",,1004,1408,0.000710732054015636,-0.00141843971631206,-0.069398545935228,17054
2016-02-29,"Carroll","NH",,1005,1348,0.00372300819061802,-0.00443131462333826,-0.0281182408074982,40526
2016-02-29,"Queen Annes","MD","Baltimore",1006,1867,0.00376344086021505,0.00646900269541779,-0.011646373742721,21152
2016-02-29,"Macoupin","IL","St. Louis",1007,1069,0.0103969754253308,0.0408958130477118,0.0318532818532819,18575
2016-02-29,"Beaufort","NC","Washington",1008,1109,-0.0018001800180018,0.0072661217075386,0.0164986251145738,5862
2016-02-29,"Franklin","VT","Burlington",1009,1434,-0.0137551581843191,-0.0284552845528455,0.0544117647058824,16033
2016-02-29,"Navarro","TX","Corsicana",1010,1076,0.0228136882129278,0.0590551181102362,0.0979591836734694,12037
2016-02-29,"Stephenson","IL","Freeport",1011,620,-0.0266875981161695,-0.0432098765432099,-0.242053789731051,15855
2016-02-29,"Oktibbeha","MS","Starkville",1012,1068,0.010406811731315,0.0712136409227683,0.0897959183673469,9895
2016-02-29,"Carter","OK","Ardmore",1013,910,-0.00437636761487965,-0.0151515151515152,0.0340909090909091,20481
2016-02-29,"Noble","IN","Kendallville",1014,983,0.00203873598369011,-0.00807265388496468,0.0524625267665953,14715
2016-02-29,"Osage","OK","Tulsa",1015,1026,-0.00484966052376334,-0.0115606936416185,0.0721003134796238,16261
2016-02-29,"Santa Cruz","AZ","Nogales",1016,978,0,-0.0121212121212121,0.0915178571428571,13543
2016-02-29,"Stokes","NC","Winston-Salem",1017,1043,0.00288461538461538,0.00481695568400771,0.0165692007797271,11769
2016-02-29,"Lafayette","MS","Oxford",1018,1325,0.00226928895612708,0.00226928895612708,0.0625501202886929,13582
2016-02-29,"Scott","KY","Lexington",1019,1233,-0.00323362974939369,-0.0222045995241872,-0.0151757188498403,14807
2016-02-29,"Washington","LA","Bogalusa",1020,1168,-0.00764655904842821,-0.00848896434634975,-0.0242272347535505,10691
2016-02-29,"Marshall","IN","Plymouth",1021,1058,-0.010289990645463,-0.044263775971093,0.0028436018957346,14755
2016-02-29,"Douglas","NV","Gardnerville Ranchos",1022,1568,0.00127713920817369,0.00965872504829363,-0.0236612702366127,20539
2016-02-29,"Cherokee","OK","Tahlequah",1023,922,-0.012847965738758,-0.0385818561001043,0.00985761226725082,15475
2016-02-29,"Hoke","NC","Fayetteville",1024,1050,-0.00284900284900285,-0.0084985835694051,0.00190839694656489,13123
2016-02-29,"Hopkins","KY","Madisonville",1025,826,0.00854700854700855,-0.00481927710843374,-0.0178359096313912,14118
2016-02-29,"Fremont","CO","Canon City",1026,1048,0.0204479065238559,0.0396825396825397,0.0417495029821074,15738
2016-02-29,"Lincoln","LA","Ruston",1027,1323,-0.00898876404494382,-0.0207253886010363,0.0870994248151191,8590
2016-02-29,"Chesterfield","SC",,1028,1012,0.00496524329692155,-0.010752688172043,-0.00491642084562439,1331
2016-02-29,"Culpeper","VA","Washington",1029,1520,-0.000657462195923734,0.0113107119095143,0.0119840213049268,14316
2016-02-29,"Hillsdale","MI","Hillsdale, MI",1030,982,-0.00101729399796541,0.0134158926728586,0.0293501048218029,15032
2016-02-29,"Mifflin","PA","Lewistown",1031,1003,0.001998001998002,0.012108980827447,0.001998001998002,9073
2016-02-29,"Richmond","NC","Rockingham",1032,820,-0.00121802679658952,0,0.0110974106041924,2345
2016-02-29,"Kay","OK","Ponca City",1033,797,0.00886075949367089,0.0139949109414758,0.0445609436435125,17064
2016-02-29,"Mississippi","AR","Blytheville",1034,793,0.00379746835443038,-0.0185643564356436,-0.0221948212083847,8589
2016-02-29,"Gadsden","FL","Tallahassee",1035,961,0.00208550573514077,0.010515247108307,0.00313152400835073,11327
2016-02-29,"Henderson","KY","Evansville",1036,894,0.00336700336700337,-0.00556173526140156,-0.00996677740863787,12710
2016-02-29,"Warren","IA","Des Moines",1037,1245,0.00403225806451613,0.00646725949878739,0.0297766749379653,17024
2016-02-29,"Goodhue","MN","Red Wing",1038,1339,0,0.00752445447705041,0.0395962732919255,17041
2016-02-29,"Iron","UT","Cedar City",1039,998,-0.025390625,-0.0611476952022578,-0.0215686274509804,12183
2016-02-29,"Lawrence","IN","Bedford",1040,835,0,-0.0176470588235294,-0.022248243559719,16699
2016-02-29,"Campbell","WY","Gillette",1041,1238,0.0299500831946755,0.0403361344537815,-0.0950292397660819,9932
2016-02-29,"Buffalo","NE","Kearney",1042,1249,-0.0023961661341853,-0.0165354330708661,-0.0023961661341853,12132
2016-02-29,"Fayette","WV","Beckley",1043,835,0.00119904076738609,0.0108958837772397,-0.0380184331797235,16350
2016-02-29,"Lincoln","OR","Newport, OR",1044,1297,-0.00153964588144727,-0.00613026819923372,0.0342902711323764,23315
2016-02-29,"Medina","TX","San Antonio",1045,1355,0.0037037037037037,0.00743494423791822,0.0512024825446082,10936
2016-02-29,"Perry","PA","Harrisburg",1046,1192,-0.0016750418760469,-0.000838222967309304,-0.00914380714879468,12965
2016-02-29,"Auglaize","OH","Wapakoneta",1047,1054,0.00190114068441065,0.00380952380952381,0.0353634577603143,15847
2016-02-29,"Saint John the Baptist","LA","New Orleans",1048,1205,0,-0.00904605263157895,-0.00165700082850041,12501
2016-02-29,"Huntingdon","PA","Huntingdon",1049,1180,0,0.00511073253833049,0.0305676855895197,6186
2016-02-29,"Barron","WI",,1050,1000,0.0121457489878542,0.016260162601626,-0.0557129367327668,15676
2016-02-29,"Logan","OH","Bellefontaine",1051,1013,-0.00197044334975369,-0.00295275590551181,0.011988011988012,17356
2016-02-29,"Pittsburg","OK","McAlester",1052,890,-0.00780379041248606,-0.00780379041248606,0.141025641025641,15413
2016-02-29,"Baldwin","GA","Milledgeville",1053,1033,0.0278606965174129,0.0350701402805611,-0.0208530805687204,9478
2016-02-29,"Bingham","ID","Blackfoot",1054,928,0,-0.0106609808102345,-0.0127659574468085,13130
2016-02-29,"Calaveras","CA",,1055,1434,0.00773014757554462,0.0294328786791098,0.0184659090909091,21175
2016-02-29,"Colquitt","GA","Moultrie",1056,893,-0.00334821428571429,-0.0154355016538037,-0.0609884332281809,9780
2016-02-29,"Vance","NC","Henderson",1057,881,0.00570776255707762,0.0114810562571757,0.0232288037166086,7064
2016-02-29,"Polk","TX",,1058,1285,0.0054773082942097,0.011014948859166,0.0524160524160524,9869
2016-02-29,"Branch","MI","Coldwater",1059,952,-0.00418410041841004,-0.00209643605870021,0.0269687162891046,17860
2016-02-29,"Jefferson","PA",,1060,1068,0.00564971751412429,-0.000935453695042095,-0.0138504155124654,10626
2016-02-29,"Phelps","MO","Rolla",1061,888,0.00338983050847458,0.0313588850174216,0.206521739130435,10971
2016-02-29,"Tazewell","VA","Bluefield",1062,1003,0.00601805416248746,-0.00889328063241107,0.064755838641189,9317
2016-02-29,"Bedford","TN","Shelbyville",1063,1007,0.00398803589232303,0.00599400599400599,0.0100300902708124,15107
2016-02-29,"Itasca","MN",,1064,1215,0.00330305532617671,0.00746268656716418,0.00247524752475248,25488
2016-02-29,"Stephens","OK","Duncan",1065,837,-0.00119331742243437,0.00239520958083832,0.087012987012987,18297
2016-02-29,"McDowell","NC","Marion, NC",1066,947,-0.00420609884332282,-0.00941422594142259,0.0652418447694038,23727
2016-02-29,"Union","PA","Lewisburg",1067,1262,-0.00158227848101266,-0.0117462803445576,-0.0062992125984252,2368
2016-02-29,"Atascosa","TX","San Antonio",1068,1579,0.0173969072164948,0.106517168885774,-0.0143570536828964,1895
2016-02-29,"Siskiyou","CA",,1069,1337,-0.000747384155455904,0.00981873111782477,0.117892976588629,19388
2016-02-29,"Brown","OH","Cincinnati",1070,1048,-0.00285442435775452,-0.00474833808167141,0.0618034447821682,11282
2016-02-29,"Lincoln","SD","Sioux Falls",1071,1292,-0.000773395204949729,-0.0174904942965779,-0.00154559505409583,6049
2016-02-29,"Whitman","WA","Pullman",1072,1256,0.00159489633173844,0.0286650286650287,0.0855661192739844,8778
2016-02-29,"Thomas","GA","Thomasville",1073,933,0.0032258064516129,0.0032258064516129,-0.0209863588667366,13800
2016-02-29,"Monroe","WI",,1074,989,0.0102145045965271,0.0432489451476793,-0.0842592592592593,14089
2016-02-29,"Monroe","TN",,1075,1056,0.00189753320683112,0.00667302192564347,0.032258064516129,15804
2016-02-29,"Windham","VT",,1076,1566,0.0740740740740741,0.0566801619433198,0.147252747252747,15090
2016-02-29,"Ohio","WV","Wheeling",1077,1013,0.038974358974359,0.0640756302521008,0.0253036437246964,15786
2016-02-29,"Beltrami","MN","Bemidji",1078,1264,0.0039714058776807,0.0112,0.0612930310663308,10408
2016-02-29,"Shelby","IN","Indianapolis",1079,993,-0.00501002004008016,-0.0255152109911678,-0.0293255131964809,15607
2016-02-29,"Callaway","MO","Jefferson City",1080,991,-0.00601805416248746,-0.0139303482587065,0.0366108786610879,12512
2016-02-29,"Polk","WI",,1081,1063,0.0114176974310181,0.00567644276253548,-0.0423423423423423,16814
2016-02-29,"Douglas","WI","Duluth",1082,1009,-0.00099009900990099,-0.0136852394916911,0.0745473908413206,15729
2016-02-29,"Cerro Gordo","IA","Mason City",1083,942,-0.0125786163522013,-0.0465587044534413,0.0161812297734628,20044
2016-02-29,"Camden","MO",,1084,1052,-0.0056710775047259,-0.00754716981132076,0.0115384615384615,23098
