"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02"
"Richmond City","VA","Richmond","51","760",242,189900,194900,193000,194000,199950,209950,199925,195500,199000,192000,194000,198125,198125,194000,189900,199000,189900,189000,184975,186750,180000,179900,175000,179900,182475,177000,179950,179900,189900,189500,199900,199950,199950,221000,219000,215000,217000,205000,199950,209995,209495,199250,199850,189950,190990,185250,190990,193000,189950,189900,189925,195900,189000,187373.5,199250,219000,194500,209900,218000,224950,218000,209450,209900,199950,203950,205000,199925,213750,218000,212500,215750,221990,224150,199972.5
"Henry","GA","Atlanta","13","151",243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215000,197920,198500,199000,214525,207450,198685,204900,225000,225000,212650,203300,209115,215000,210265.5,210990,216300,218990,220000,220285,223995
"New Hanover","NC","Wilmington","37","129",244,249900,244949.5,249900,249900,249000,245900,239900,249000,249000,229900,225900,219900,224000,215000,224450,227900,219000,217000,219900,217000,217000,217000,199000,199000,210000,217000,219000,219200,215000,226750,219950,220000,209900,209900,219450,209900,2e+05,215000,224950,224900,229000,229950,239200,235000,239250,233450,234450,234900,222000,218000,224450,220000,220000,189900,185000,185000,185000,199000,197000,182450,189000,189900,189000,189900,189900,192500,195000,199900,214450,215250,217250,239000,219900,215000
"Whatcom","WA","Bellingham","53","073",245,184316,194500,189000,189900,184900,184450,189900,189450,182000,179900,179000,175000,175000,164900,168450,164900,174900,172999,169949.5,174900,169900,167450,158950,167000,169000,165000,174999,165000,165000,162250,167000,171000,168000,182000,179900,165000,159900,160500,161950,162000,169900,172900,182000,166500,169900,169000,159900,159900,159900,159900,159450,159900,159900,159900,182000,177500,179930.5,188500,189900,183000,179000,183750,184900,185000,184995,180000,174850,174900,179900,169900,165000,159000,160000,167500
"Champaign","IL","Champaign-Urbana","17","019",246,145950,143450,139900,138800,139700,139900,136450,134900,128900,127700,124500,123750,124900,124900,122900,119900,119900,114900,115000,112500,109700,109500,109250,109700,109950,114900,114640,114900,110900,112900,112200,110000,109900,106700,107500,105900,106700,109450,114200,112900,109950,109900,111900,109950,109900,109900,107900,107000,108900,107000,105500,105500,105000,109450,110000,112000,110000,110000,109900,110000,110000,112000,114900,115000,113950,115900,116950,111250,113250,117000,125900,119900,110500,116000
"Saint Louis","MN","Duluth","27","137",247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221500,189500,175212.5,179950,175000,174900,185450,184900,171500,175000,185000,185000,159900,155000,172400,178950,167400,169900,169900,199500,194650
"Mohave","AZ","Lake Havasu City","04","015",248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107450,121200,124950,116900,119500,120000,119900,117850,119000,115500,115000,114500,114500,114950,109500,104900,120000,109750,111750,119500,129000,129000,124000,125000,117900,122000,119900,119000,122000,125000,134500,129000,125000,125000,129900,115900,115450,115000,121000,129900
"Saginaw","MI","Saginaw","26","145",249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109900,112450,112443,121450,139900,164900,165000,165000,164900,159900,153400,149900,149900,129500,128250
"Clermont","OH","Cincinnati","39","025",250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99500,95000,89900,89900,1e+05,104900,1e+05,97999,99000,101900,111975,109900
"Sussex","DE","Salisbury","10","005",251,299900,309900,289900,294000,289900,289999,288900,284000,279900,279900,279900,279900,273900,268950,269900,279000,282500,285000,284900,279900,285000,288500,279950,279700,274400,274900,281200,275000,282900,282900,279900,284900,280000,282900,289250,284900,276900,284000,284044,284900,289000,280995,283000,284044,299500,312000,299900,299900,299900,299900,299000,310495,312000,299994.5,299900,299900,309000,307495,309900,322000,315000,305665,312990,299900,297900,312000,315000,317332.5,310000,325000,309995,319900,314950,315000
"York","ME","Portland","23","031",252,228500,225000,227000,229000,224950,229250,229500,229900,229900,227700,216500,219000,219000,219000,219900,219900,227450,229000,229000,229000,229000,214250,208900,199900,199950,214900,207450,199900,199900,219000,215990,199900,199900,190000,199000,189900,199000,199000,199000,199000,208950,199450,202950,205250,199950,199000,197950,189900,189500,189000,199900,218750,214900,209900,205950,210000,217900,217900,215000,218500,224000,224000,215250,212900,215450,210950,219000,225750,226200,229000,234950,244000,249000,258000
"Yuma","AZ","Yuma","04","027",253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118500,119000,120000,114750,105900,109900,109900,104950,109900,109550,109900,106000,104999,123450,124900,129000,125000,130000,120500,122000,125000,129900,129000,127000,122500,119000,119000,119000,119000,119900,117000,112500,114950,108750,109000
"Racine","WI","Racine","55","101",254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123400,127000,129900,120000,129900,119900,119900,119900,114950,119400,115000,119900,118650,115000,119900,119999,119900,117250,114950,115000,112900,111450,117500
"Brazos","TX","College Station","48","041",255,138625,135072.5,135145,135411,137500,134900,135700,139900,147900,149900,145700,138900,139950,139750,139850,139850,138900,138700,136800,133950,134000,134900,134900,135900,136800,139500,137900,134900,134900,131400,133700,134900,132500,130950,129900,129900,132500,133500,133500,132750,132000,138450,143000,139900,144700,146000,145000,146000,144900,146900,139900,149500,149250,144900,137250,142000,152500,149450,153000,157000,152500,150000,147500,152450,154900,159500,159900,153700,157950,159900,172500,169500,169500,162200
"Tuscaloosa","AL","Tuscaloosa","01","125",256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158900,155530,146950,139500,134900,139700,158900,169000,165000,168500,159400,133900,134900,153402.5,155500,152800,146900,134900,135900,137700,153905,162250,170000,162450,157900,153500,153000,152500,154900,158000,162900,162900,164000,162900,149900,147900,159000
"Clay","FL","Jacksonville","12","019",257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102250,94050,83450,89000,92700,87000,79900,89950,84900,82000,94250,99900,98500,102450,105000,109000,114400,111950,108500,107500,107700,106500,109450,109900
"Saint Johns","FL","Jacksonville","12","109",258,175000,174000,161135,155900,162900,169000,178695,189900,189450,175000,179000,168500,175000,175000,189450,190880,184950,198500,197000,209000,219900,199900,208000,199900,199900,194995,195000,195000,189000,199900,199900,185000,194000,185000,209900,220000,225000,218500,224450,224950,229000,225000,225000,229000,224999,227000,212500,224900,212500,223275,218600,224900,225000,239900,229000,236875,225950,239000,239000,240000,259000,249900,249000,250000,249000,229900,249000,229950,229000,215000,210000,238900,235000,244450
"Litchfield","CT","Torrington","09","005",259,139900,147900,144500,141900,142450,145000,145000,149900,144900,139900,139950,140000,145000,142000,139900,140000,149900,142000,149900,149900,149900,149900,149900,139950,138450,137900,139900,138950,139900,137900,139917,139900,139900,145000,139917,139450,134900,134900,134900,139900,139900,143000,143000,148900,149000,149000,141000,140000,141000,139900,133900,148650,139900,139000,129900,129000,129000,128900,129000,128900,129000,129000,125950,129900,129900,129900,125000,119000,119900,127500,129900,129900,129900,125000
"Anderson","SC","Greenville","45","007",260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145000,145000,124900,124900,118750,120000,110000,107172,109000,109950,119000,110000,125638.5,127777,127777,127777,127777,127777,127888.5,129777,130838.5,129777,131777
"Peoria","IL","Peoria","17","143",261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119250,119900,119900,119950,119100,118400,109900,118500,118500,118700,119900,129500,129700,126450,118450,99900,109900,104900,104950,106450,99950
"Hawaii","HI","Hilo","15","001",262,,,,,,,,,,,,,,,,,,,,,,,,,340000,349250,346000,349000,340000,329000,329000,327000,335000,325000,314500,327000,335000,319000,329000,324950,335000,3e+05,335000,339000,349000,339000,339000,340000,345000,350000,352500,367000,379999,349999.5,359000,379999,360000,349000,387000,399900,399000,425000,410000,419450,399000,399250,409000,399900,406500,410000,409000,390000,396450,399000
"Butler","PA","Pittsburgh","42","019",263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186000,193750,192500,192500,192500,179900,179950,192000,189900,186450,192500,192400,199900,194900,199500,195000,199950,222000,206900,197950,2e+05,219450,214900,208000,192000,209000,202500,213900,209900,209900,199950,2e+05,197895,190000,189500,198000,199900,209900,214900,219500,224900,224700,224250,224250
"Ulster","NY","Kingston","36","111",264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155900,160900,161900,159950,158900,156900,158900,155000,153900,154900,154900,157400,164900,162450
"Baldwin","AL","Daphne","01","003",265,329250,325000,325000,324900,315000,299500,299000,259950,295000,294900,294900,295000,295000,280000,282700,280000,283900,295000,294900,289900,294500,286950,289000,294999,289000,289000,289000,289900,295000,299500,299000,299000,297000,299000,299000,299000,295000,298700,299500,299900,299900,299500,299900,299900,299900,297000,299900,295000,295000,299000,295000,284000,279900,289900,299000,300999.5,320000,320000,325000,329000,324900,329000,324700,334900,344000,344000,338500,335000,335000,334000,339000,339000,339900,347000
"Livingston","MI","Detroit","26","093",266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162500,169900,174450,179250,179900,179900,179000,194900,194900,194900,194900,192450,191450,194900,189900,195000,189900,199100,205450,218950,218950,219900,216473,218173,224900,225000,220000,220000
"Okaloosa","FL","Crestview-Fort Walton Beach-Destin, FL","12","091",267,296250,289900,286950,285000,275000,268750,254900,249450,249900,250000,250900,250000,249900,267000,269900,251250,252750,259900,260500,259000,264250,259000,250000,244500,240000,239900,240000,250000,240000,249000,250000,248900,243000,240000,250000,272500,274450,274500,294000,289900,296875,305000,305000,324900,334900,325000,339000,325000,323500,315000,298000,291750,285000,284500,289900,294900,299900,293000,294000,289000,273750,279500,299950,279000,279000,279000,288500,295000,299900,309000,309000,315000,319900,325000
"Newport News City","VA","Virginia Beach","51","700",268,162450,159900,155000,154950,149900,153900,149900,149750,144900,137000,134950,129800,127000,129800,125450,128950,125000,125000,126750,128000,127000,129900,125000,128000,130000,128000,134950,119900,124400,123200,118600,119900,119000,116000,115000,114200,111000,111000,110000,110000,110000,110000,110000,110000,109700,110000,105000,109000,104500,110900,115000,115000,112000,119450,110000,113499.5,114999,115000,104900,105450,115000,110900,119950,127200,124900,120850,124700,125000,126000,129900,120000,110000,110000,110000
"Cabarrus","NC","Charlotte","37","025",269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167900,153000,172820,169060,153700,150000,150000,159500,159500,173900,159500,150000,160500,152450,145000,139900,129500,125950,126500,125750,128100,129200,128500,132400,128499.5
"Onslow","NC","Jacksonville","37","133",270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134900,134900,137900,157500,154900,147450,137900,149000,144450,139900,135900,144900,149900,166250,180250,179000
"Delaware","OH","Columbus","39","041",271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268000,235000,202950,2e+05,215000,209900,209000,209900,219900,224950,217325,226450,225000
"Hernando","FL","Tampa","12","053",272,119900,119900,119900,119000,118500,114900,108000,109500,109900,109000,107950,109900,110000,114750,109900,102000,99900,92500,89000,79900,79900,79900,78500,77500,74900,78000,79000,84949.5,85000,89950,91900,90000,92500,94000,94000,99500,94500,94900,95950,97750,96900,104999,106050,109800,113900,115000,117900,119900,119900,119949.5,115000,116950,110750,114500,119250,119450,124900,117500,119000,121450,124900,123900,129900,124900,123900,124900,129949.5,131700,129943.5,139000,130000,140000,139900,132500
