"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11"
"Montgomery","PA","Philadelphia","42","091",30,,,,,,,,,,,,,,,,,,,,,,,,871,842,833.5,890,850,799,800,800,820,820,820,820,837.5,820,875,937.5,953,835,785,820,750,695,785,810,775,805,800,800,777.5,795,795,795,820,810,797.5,755,790,770,820,825,855,825,860,837.5,877.5,895
"Essex","NJ","New York","34","013",31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,799,750,745,740,772.5,775,754,747.5,740,745,750,750,795,745,745,725,800,875,850,850,800,812.5,852.5,855,850,862,865,925,900,800,792.5
"Multnomah","OR","Portland","41","051",32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,895,895,895,895,994,900,945,976,1050,1095,995,981,995,995,1155,1155,1145,1145,1145,1142.5,1100,1095,1052,1155,1245,1250,1275,1225,1252.5
"Suffolk","MA","Boston","25","025",33,,,,,,,,,,,,1300,1295,1275,1250,1250,1275,1295,1375,1325,1375,1262.5,1300,1300,1325,1350,1395,1375,1375,1375,1450,1475,1475,1495,1475,1450,1450,1450,1475,1475,1475,1475,1495,1475,1500,1495,1500,1500,1500,1525,1525,1525,1550,1550,1550,1565,1599.5,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1650
"San Mateo","CA","San Francisco","06","081",34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1512,1445,1445,1445,1445,1415,1510,1552.5,1550,1550,1578,1594,1665,1675,1590,1722.5,1680,1719,1710,1694.5,1645,1670,1879,1805,1707,1805,1885,1917.5,1979.5,1915,1917.5,1917.5,2075,2039.5,2073,2078,1980,2189,2092.5,2164.5,2090
"Jackson","MO","Kansas City","29","095",35,,,,,,,,,,,,,,,,,,,,,,,489,550,550,489,475,475,460,460,475,470,475,497.5,475,500,500,515,475,535,550,569.5,600,539.5,515,575,590,549,549,549,640.5,622.5,610,615,520,550,532,575,604.5,610,617.5,590,670,620,655,698.5,620,620,637
"Norfolk","MA","Boston","25","021",36,,,,,,,,,,,,,,,,,,,,1250,1250,1250,1240,1250,1255,1295,1345,1325,1325,1350,1275,1300,1350,1325,1325,1330,1350,1395,1395,1410,1400,1404.5,1450,1410,1400,1375,1395,1400,1440,1445,1400,1410,1450,1430,1400,1400,1458,1395,1400,1420,1450,1465,1460,1450,1450,1475,1550,1595,1525
"Bernalillo","NM","Albuquerque","35","001",37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,505,505,525,525,525,525,525,557.5,550,525,525,525,525,520,525,525,525
"Hudson","NJ","New York","34","017",38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600,1550,1515,1600,1555,1650,1600,1650,1650,1700,1710,1732,1700
"Baltimore City","MD","Baltimore","24","510",39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,890,999.5,1035,955,1050,1040,930,927.5,927.5,912.5,945,890,870,900
"District of Columbia","DC","Washington","11","001",40,,,,,,,,,,,,,,,,,,,,,1880,1910,1850,1824,1859.5,1878,1815,1820,1835,1855,1847,1847,1836,1870,1885,1850,1869.5,1892.5,1795,1756,1753,1845,1801,1745,1748,1695,1675,1625,1590,1595,1614,1645,1682,1720,1690,1630,1671,1715,1734,1710,1720,1693.5,1681,1690,1695,1733,1730.5,1718,1685
"Denver","CO","Denver","08","031",41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1125,1155,1135,1145,1142,1150,1245,1185,1247.5,1247.5,1138.5,1200
"Ramsey","MN","Minneapolis-St Paul","27","123",42,,,,,,,,,,,,,,,,,,,,,625,659.5,660,625,647.5,650,660,687.5,626,690,699,704.5,710,710,695,695,709.5,685,650,650,650,729,670,717,667.5,710,751,737,725,715,719,717,709,709,719,750,750,729,719,715,715,735,765,868.5,880,870,849,799,849
"Dane","WI","Madison","55","025",43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,782.5,737.5,682.5,775,784,784,818,762,820,809,775,725,710,664
"Saint Louis City","MO","St. Louis","29","510",44,,,,,,,,,,,,,,,,,,,,,,,,530,560,562.5,625,635,585,580,580,592.5,580,580,570,580,575,577.5,585,595,585,575,575,580,592.5,580,575,575,575,575,600,643,650,642.5,645,650,590,667.5,660,635,635,690,700,695,662.5,687,649.5,680,705
"Atlantic","NJ","Atlantic City","34","001",45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,900,900,900,900,900,900,900,900,900,900,900,900
"Arlington","VA","Washington","51","013",46,,,,,,,,,,,,,,,,,,,2050,2047,1745,1730,1680,1680,1652,1660,1660,1654,1700,1660,1666,1644,1610,1570,1630,1612,1680,1670,1652,1645,1614,1588,1716,1672.5,1560,1536,1595,1594.5,1629.5,1615,1662.5,1658,1604,1666,1670,1550,1560,1595,1616,1562.5,1575,1635,1638,1645,1627,1642,1644,1571,1671
"Alexandria City","VA","Washington","51","510",47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1490,1462,1441,1291,1299,1235,1237.5,1299.5,1470,1435,1310,1325,1315,1305,1269,1252.5,1300
"Missoula","MT","Missoula","30","063",48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750,672,610,595,600,610,600,620,625,622.5,587.5,597.5,535,603,601.5,625,645,601.5,600,601.5
