"Date","RegionID","RegionName","State","Metro","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2016-02-29,2415,"Marshall","TN","Lewisburg",877,108200,0.00464252553389044,0.0197926484448633,0.0841683366733467,0.0534459116933526,0.0250311303526392,"2016-02","2016-Q1",108200,0,"2016-02"
2016-02-29,412,"Bryan","GA","Savannah",878,205200,0.001953125,0.00934579439252336,0.0214036834245893,0.0175545771755876,0.0043416660390232,"2006-11","2006-Q4",207300,-0.0101302460202605,"2006-08"
2016-02-29,1892,"Lumpkin","GA",,879,182000,0.00275482093663912,0.00496963003865268,0.0317460317460317,0.0335728492301857,-0.000656960623132585,"2007-07","2007-Q3",200100,-0.0904547726136932,"2006-02"
2016-02-29,2755,"Jefferson","WA",,880,284900,0.00387596899224806,0.00921006021962451,0.0742835595776772,0.0129107937808943,-0.00461896231369874,"2006-12","2006-Q4",316200,-0.0989879822896901,"2005-12"
2016-02-29,1943,"Neshoba","MS",,881,108100,-0.00368663594470046,-0.0296229802513465,-0.0664939550949914,0.0212746940199577,0.0326448016296033,"2013-08","2013-Q3",124200,-0.12962962962963,"2013-05"
2016-02-29,538,"Grant","NM","Silver City",882,134400,-0.0153846153846154,-0.0274963820549928,-0.0296028880866426,-0.0325707430879804,,"2014-04","2014-Q2",163900,-0.179987797437462,"2009-01"
2016-02-29,522,"Giles","TN",,883,99900,-0.00991080277502478,-0.0138203356367226,-0.00695825049701789,0.0375114370852903,0.0215725043142048,"2014-11","2014-Q4",104700,-0.0458452722063037,"2014-08"
2016-02-29,1599,"Carroll","OH","Canton",884,93400,0.00538213132400431,0.00538213132400431,0.0263736263736264,0.0493736705195285,0.00840588432645917,"2014-03","2014-Q1",102400,-0.087890625,"2014-01"
2016-02-29,1356,"Ripley","IN",,885,113700,0.00530503978779841,0.00887311446317657,-0.0181347150259067,-0.000702124617380395,-0.00285696449129813,"2012-06","2012-Q2",131800,-0.137329286798179,"2011-01"
2016-02-29,2326,"Haralson","GA","Atlanta",886,95400,0.0127388535031847,0.0472008781558727,0.152173913043478,0.0647879295369165,0.0118479409178089,"2007-08","2007-Q3",96500,-0.0113989637305699,"2007-07"
2016-02-29,224,"Lake","MT",,887,181300,-0.00657534246575343,-0.0226415094339623,-0.0236941303177167,,,"2012-05","2012-Q2",246600,-0.264801297648013,
2016-02-29,2178,"Caroline","VA","Richmond",888,163100,0.00122774708410068,0.000613496932515337,0.0155666251556663,0.00894123664718216,-0.0347485223721113,"2006-09","2006-Q3",244200,-0.332104832104832,"2004-08"
2016-02-29,2358,"Jennings","IN","North Vernon",889,96300,-0.0082389289392379,-0.0253036437246964,0.00103950103950104,0.0224069764578763,-0.00889471590069402,"2005-11","2005-Q4",113100,-0.148541114058355,"2004-08"
2016-02-29,1600,"Carroll","TN",,890,67200,0.00598802395209581,0.0105263157894737,0.024390243902439,0.0316687738239578,0.0165984465741611,"2015-08","2015-Q3",67800,-0.00884955752212389,"2015-06"
2016-02-29,81,"Lee","GA","Albany",891,141500,-0.005621925509487,-0.0146239554317549,-0.0194040194040194,-0.00827129477774491,-0.000423042294340314,"2010-08","2010-Q3",153700,-0.0793754066363045,"2006-02"
2016-02-29,1039,"Gilmer","GA",,892,177300,0.00396375990939977,0.019551466359977,0.0738946093276802,0.0424836412287897,-0.0072593526356709,"2008-04","2008-Q2",198500,-0.106801007556675,"2005-11"
2016-02-29,3055,"Washington","IN","Louisville/Jefferson County",893,93600,-0.00425531914893617,-0.0340557275541796,0.00970873786407767,-0.0040111067355485,-0.000638775705753547,"2005-09","2005-Q3",103300,-0.0939012584704743,"2004-08"
2016-02-29,1173,"Marion","TN","Chattanooga",894,108500,0.000922509225092251,0.00370027752081406,0.0264900662251656,0.0302049338331136,0.0203533902955793,"2016-02","2016-Q1",108500,0,"2016-02"
