"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02"
"Bexar","TX","San Antonio","48","029",15,,,,,,,,,,,,,,,,,,,,,1800,1825,1695,1750,1972.5,1995,1950,1850,1850,1772.5,1749.5,1695,1500,1595,1750,1900,1800,1800,1850,1900,1995,1950,1800,1850,1897.5,1850,1995,1800,1750,1749,1750,1900,1850,1825,1897.5,1895,1749.5,1750,1812.5,1850,1850,1895,1850,1900,1995,1995,2050,1950,1825,1824.5,1824.5,1900,1900
"Philadelphia","PA","Philadelphia","42","101",16,,,,,,,,,,,,,,,2112.5,2250,2387.5,2225,1972.5,1800,1850,1800,1700,1900,2200,2387.5,2500,2400,2225,2000,2250,2300,2300,2400,2400,2480,2625,2500,2500,2450,2400,2325,2200,2000,1975,2300,2500,2500,2500,2500,2550,2500,2337.5,2350,2200,2200,2200,2500,2600,2625,2625,2600,2500,2500,2500,2500,2500,2500,2600,2700,2600,2625,2550
"Alameda","CA","San Francisco","06","001",17,,,,,,,,,,,,,,,,,,1250,1279,1250,1250,1250,1225,1200,1295,1397.5,1300,1300,1275,1250,1300,1350,1350,1300,1295,1300,1350,1395,1325,1450,1450,1395,1500,1500,1495,1460,1485,1450,1475,1450,1475,1625,1700,1748,1895,1947.5,1897.5,1950,1995,1850,1987.5,1850,1785,1850,2000,2064,2275,2450,2197.5,2300,2295,2245,2095
"Middlesex","MA","Boston","25","017",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,3600,3500,3500,3300,3200,3000,3000,3100,3000,3000,3300,3400,3600,3600,3550,3500,3300,3350,3274.5,3000,3000,3400,3600,3800,3800,3850,3700,3500,3500,3600,3450,3500,3600,3750,3800,3975,4000,3800,3600,3600,3600,3400,3150,3500,3600,3500
"Sacramento","CA","Sacramento","06","067",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1695,1685,1695,1695,1695,1695,1725,1695,1747.5,1695,1695,1695,1695,1700,1685,1675,1695,1762.5,1795,1795,1722.5,1795,1795,1797.5,1795,1800,1800,1800,1795,1660,1885,1910,1910,1850,1800,1895,1837.5,1675,1847.5
"Palm Beach","FL","Miami-Fort Lauderdale","12","099",20,,,,,,,,,,,,,3500,3500,3000,3400,3300,3000,3000,3000,3200,3000,3000,3200,3000,3275,3400,3350,3200,3000,3200,3000,3000,2950,3000,3000,3000,3200,3000,3200,3000,3000,3000,3000,2995,2950,2950,2900,2800,2800,2800,2900,2900,2897,2875,2850,2900,2950,3000,3000,3200,3300,3500,3600,3595,3500,3570,3800,3800,3600,3500,3500,3500
"Hillsborough","FL","Tampa","12","057",21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900,1900,2000,2000,2025,2000,1995,1945,1945,1937.5,1990,1999,1995,2097.5,2095,2100,2025,2075,2095,2022.5,1995,2000,2100,2000
"Allegheny","PA","Pittsburgh","42","003",22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1125,995,1100,1000,1167,1295,1295,1200,1300,1200,1000,995,1125,995,1095,1002.5
"Oakland","MI","Detroit","26","125",23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2250,2450,2500,2400,2200,2200,2225,2197.5,2375,2350,2400,2325,2450,2400,2400,2400,2500,2500,2487.5,2450,2595
"Orange","FL","Orlando","12","095",24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950,1850,1800,1850,1900,1900,1950,1995,1995,1950,1975,1900,1900,1975,1900,1897,1895,1895,2000,2000,1999,2000,2000,2000,2000,1925,1900,1900,1975,1975,1995,2000,2095,2095,2050,2000,2000,2025,2095,2095
