"RegionID","RegionName","State","SizeRank","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02"
3101,"Los Angeles","CA",1,5,4.74144317676692,4.66200466200466,5,4.99915886278248,4.98099619923985,4.76644423260247,4.61538461538461,4.36681222707423,4.52217609788071,4.28571428571428,4.28709228513307,4.31876720845545,4.34877147205914,4.41826215022091,4.76644423260247,4.41176470588235,4.49177763875234,4.36461416722839,4.25531914893616,4.09044432050567,4.00801603206413,4.00000533334044,4,3.93305439330544,4.00667779632721,3.77163187447381,3.85010292305427,3.84763370527126,3.85356454720617,4.05090280964077,4.00801603206413,4.00026670222697,3.73418632528996,3.68015414258189,3.36134453781513,3.420523138833,3.44086021505376,3.4054356312829,3.5024154589372,3.2520325203252,3.24324324324324,3.26340326340326,3.25732899022801,3.10344827586206,3.12609413294653,3.15315315315315,2.99982037003772,3.075452272393,3.15151515151515,3.20427236315087,3.20427236315087,3.2063492063492,3.07976710624722,3.10481350281309,3.33889816360601,3.27868852459017,3.28255199699401,3.23101777059773,3.1563126252505,3.16901408450704,3.2258064516129,3.21367134155532,3.11111111111111,3.33889816360601,3.08431031017619
139,"Cook","IL",2,5,4.84140233722872,5.00250125062531,5.29100529100529,5.74263447790929,5.37273580140001,5.03597122302159,4.80952380952381,4.69683966038564,4.76190476190477,4.82727215627159,4.8,4.85714285714286,5,5.26592943654555,5.71428571428572,5.28327101907775,5.06329113924051,4.76947535771065,4.76281196418365,4.78468899521531,4.65770553297905,4.76644423260247,4.93573264781491,4.92957746478874,4.97617787188989,5.13722649722821,5.88581518540318,5.06329113924051,5.00250125062531,4.84429065743944,4.52286432160804,4.43478260869565,4.33694745621351,4.37319476473924,4.15964601769911,4.13793103448276,4.16927264313981,4.68031841029553,6.00706713780919,5.29039677975848,5.06329113924051,4.54817474566128,4.00320256204964,3.76569037656904,3.62318840579711,3.75991721283201,3.82264900445814,3.75469336670838,3.92156862745098,4.18410041841004,4.98542274052478,4.66808123673841,4.44707984868327,3.84763370527126,3.62378149136216,3.4965034965035,3.44497109931163,3.51351351351351,3.4494653328734,3.57142984693968,3.4494653328734,3.65921787709497,4.16666666666666,3.70644922164566,3.57398141529665
1090,"Harris","TX",3,4.24448217317487,4.16667534725839,4.16684028501187,4.47899457163087,4.35161009573543,4.36681222707423,4.10214341305399,4.00320256204964,3.8560411311054,3.76630604761354,3.62581580855692,3.84911470361817,3.9225959299855,4,4.0016006402561,4.35161009573543,4.12420579000717,4.02000384689364,3.78787878787878,3.70370370370371,3.69398046732384,3.58620689655172,3.57142857142857,3.63636363636364,3.70644922164566,3.76610878661088,3.84615384615384,3.80915736821854,3.70644922164566,3.34346504559271,3.33333333333333,3.22684737011939,3.36083145640552,3.22788896061975,3.33889816360601,3.33889816360601,3.42465753424658,3.26993696732401,3.34346504559271,3.57142857142857,3.51968339422903,3.292220113852,3.30403152470445,3.19341523191909,3.13813417743779,3.125,3.12695434646654,3.125,3.125,3.24939288353922,2.94117647058824,3.27189598514074,3.33444481493831,3.11804008908686,3.03122158229766,3.24470599006815,3.04568527918782,3.15175097276265,2.99087201398329,3.06594996105695,3.08166409861325,3.00375469336671,3.03520028989141,3.125,3.11986863711001,3.12981015905592
2402,"Maricopa","AZ",4,5.26870389884089,5.01002004008017,5.00918364274459,5.48847420417125,5.26870389884089,5.16462233699161,5.18518518518518,4.97967479674797,4.88676996424314,4.80961923847696,4.76190476190477,4.50383218112421,4.18901057857786,4.16675347583927,4.11240575736807,4.18422728622139,4.12371134020618,3.83597106708479,3.54257879211303,3.57206644043579,3.26961595618312,3.07692307692308,3.05584826132771,3.09090909090909,3.07692307692308,3.03951367781155,2.94117647058824,3.15470494417863,3.1166079267955,2.94757419395853,2.97734627831715,2.85795941697627,2.64550264550265,2.53481894150418,2.48232393593218,2.38095464852823,2.4048872860269,2.43961941937058,2.42290748898678,2.36503856041131,2.50208507089241,2.44444444444445,2.36313545913144,2.29973169796857,2.23463687150838,2.17485863418878,2.1505376344086,2.03389830508475,2.10526315789473,2.12856534695615,2.22248892106838,2.22255319148936,2.30672835935994,2.29195997810426,2.17864923747276,2.08333333333334,2.03389830508475,2.00080032012805,1.9672131147541,1.95564874130936,1.9672131147541,2.01704889448575,1.96506550218341,2.01106083459025,2.01378564670901,2.08163265306123
2841,"San Diego","CA",5,4.58657161222462,4.26439232409381,4.3010752688172,4.55580865603644,4.37158469945356,4.34971726837755,4.18300653594771,4.02176099402993,3.8647342995169,4,3.88059701492537,3.77717608026414,3.88548057259713,3.93226436672067,3.97110594939889,3.95021645021645,4.0016006402561,3.79746835443038,3.84615384615384,3.70507595405706,3.51493848857645,3.4032515021297,3.45323769603956,3.38983050847458,3.45184673800484,3.40118269977842,3.21034731526332,3.63636363636364,3.33333333333333,3.50645499114929,3.33977875213267,3.25651237890204,3.2869523350987,3.23232323232323,3.12989045383412,3.03122158229766,2.85714285714286,2.91869494668521,2.85714285714286,2.89477984338273,2.77842093672889,2.91428571428571,2.86532951289399,2.82685512367491,2.8133704735376,2.83072277788262,2.82091471746644,2.67175572519084,2.66666666666666,2.72727272727272,2.80558338900022,2.7338747851217,2.89175459163736,2.85490371697268,2.71351351351351,3.03168113681287,3.03094598329333,2.96116504854369,2.93276812922406,2.84167924401334,2.78907706020582,2.78260869565218,2.9068097760037,2.92275574112735,2.85123016785468,2.82262899469856
1286,"Orange","CA",6,4.16666666666666,3.71747211895911,3.70370370370371,4.16666666666666,3.871395167576,3.80069103473358,3.84681964328422,3.76817002716148,3.6979969183359,3.70370370370371,3.77358490566038,3.70370370370371,3.70438970179663,3.70370370370371,3.74074074074074,4.016,3.79746835443038,3.66539440203562,3.64077073320605,3.50877192982456,3.38983050847458,3.32688802951505,3.3955857385399,3.33333333333333,3.07589469354175,3.07739652254193,3.18489196767277,3.3423667570009,3.22788896061975,3.50877192982456,3.46982891861642,3.32813564182529,3.38713343941804,3.13882669055083,2.89855072463768,2.78360609875508,2.74074881846076,2.77064220183486,2.5706940874036,2.59757128181599,2.70343336036767,2.67343465252941,2.56465057104612,2.65068504608796,2.5589289403772,2.54776065056439,2.56739409499358,2.50062515628907,2.52475631189077,2.46659815005139,2.51336211310307,2.56739832575308,2.5083584169175,2.5,2.62818645484701,2.65486725663717,2.53164556962026,2.53951527924131,2.43932186852055,2.38338447493216,2.45902445581789,2.43761658031088,2.44698368344893,2.33210286698659,2.48274955801636,2.33722871452421
581,"Kings","NY",7,4.76947535771065,4.34782608695652,4.84429065743944,4.34782608695652,5,5.26592943654555,4.78468899521531,4.16666666666666,4.55063160074549,4.89396736689786,5,5,4.77326968973747,5.22774327122154,4.44444444444444,4.57286432160804,5.0251256281407,4.77516987671587,4.4543429844098,4.76644423260247,4.1721740563361,4.35729847494554,3.8560411311054,4.49513138588769,4.36681222707423,4.54545454545454,4.70588235294118,4.78468899521531,4.92063492063493,4.55580865603644,5.14138817480719,4.35729847494554,4.53359683794466,4.81254523522316,4.80961923847696,4.66264200687355,4.44444444444444,4.38613818868897,4.38861737727809,5.00375312781516,4.77936404931862,4.54545454545454,4.14823008849558,4.34782608695652,4.26439232409381,4.44444444444444,4.16753490310481,4.32049382716049,4.44444444444444,4.49148167268972,4.44444444444444,4.008,4.52173913043479,4.19255632963033,3.6761412774895,3.93706889870573,4.54528099141999,4.04040404040404,3.85829307568438,4.44938820912124,4.54545454545454,4.17014178482068,4.00801603206413,4.28571428571428,4.08997955010225,4.02815934065934
2964,"Miami-Dade","FL",8,7.44186046511628,7.02432045779685,6.8,6.96318222700616,6.86443601241807,6.79117147707979,6.60755897677585,6.21092121717383,6.31578947368421,6.31693613117761,6.57953157953158,6.10738255033557,6.26959247648903,6.25,5.88235294117647,5.84905660377358,5.79710144927537,5.76923076923077,5.88581722441627,5.56173526140156,5.26315789473685,5.53072625698324,5.66037735849056,5.29100529100529,5.26315789473685,5.3612260490869,5.08374309653385,5.71428571428572,5.05973545726071,5.55555555555556,4.91146884589508,5.12820512820513,5.00834724540902,4.76935306347071,5.21379673512375,5.08474576271186,4.80961923847696,4.8,4.99996012822762,5.20446096654275,5.09647495361781,4.71698113207547,4.4499822000712,4.54545454545454,4.41865488463427,4.4543429844098,4.26439232409381,4.43478260869565,4.2284549648404,4.16840350145894,3.92289527448327,4.16840350145894,4.00801603206413,3.77358490566038,3.84911470361817,4,3.86896565273565,3.84615384615384,3.89280332926742,3.71799531873882,3.70242656449553,3.70370370370371,3.70370370370371,4.03872937647311,4.00000640001024,4.01606425702812
978,"Dallas","TX",9,4.45859872611465,4.41558441558442,4.35161009573543,4.76644423260247,4.62311557788945,4.44829990372455,4.25531914893616,4.08081632653061,4.0007200512082,3.86174951644245,3.84763370527126,4.00013334222282,3.97672162948594,4.04960795367191,4.15704387990762,4.73527845511366,4.16840350145894,4.00582785224681,4,3.88235294117647,3.57545180833483,3.45065562456867,3.55239786856127,3.66887498257935,3.55029585798816,3.70644922164566,3.59680676511422,3.77495509366179,3.92384674010027,3.54693781035705,3.26884589726484,3.23624595469255,3.37078651685393,3.33555703802535,3.24499729583558,3.22788896061975,3.33333333333333,3.33340278067142,3.26524732139228,3.63295027875754,3.45244352903736,3.34333592713048,3.27868852459017,3.19545700378583,3.09216520744671,3.22788896061975,3.1578947368421,3.125,3.17510723988971,3.14301950493892,3.30110036678893,3.42368742368742,3.36545487760321,3.55096498784631,3.33333333333333,3.45636229504295,3.33555703802535,3.33444481493831,3.22927879440258,3.34448160535117,3.2258064516129,3.22927879440258,3.33889816360601,3.03674713016791,3.1581052631579,3.33555703802535
1347,"Queens","NY",10,4.12087912087912,4.18410041841004,4.26552949538024,4.38356164383562,4.45545436723637,4.78468899521531,4.92845786963434,4.55235204855842,4.35729847494554,4.72267206477733,5.02849162011173,4.62249614791987,4.57650849668188,4.46841294298922,4.84429065743944,5.21159057744424,4.91978609625668,5.11729405346427,4.26439232409381,4.01606425702812,3.91061452513967,4.08163265306123,3.86100386100386,4.08163265306123,4.0016006402561,4.16840350145894,4.13793103448276,4.18410041841004,4.44444444444444,4.20898569307599,4.00801603206413,4.00080032012805,4.08163265306123,3.86100386100386,3.78282828282828,3.92970204442309,3.78151260504201,3.59712230215827,4.00601001803407,3.66456892756326,3.7663179916318,3.84615384615384,3.63636363636364,3.70644922164566,3.75469336670838,3.88577527697097,3.44827586206896,4.01606425702812,3.66095850771546,3.70507595405706,3.584229390681,3.59804701226166,3.46322682786414,3.63636363636364,3.35645132899137,4.01146131805158,4.00734691419567,3.51840483045578,3.74507874015748,3.5483870967742,3.59085625726462,3.68229781511367,3.92156862745098,3.59625816324332,3.59168241965974,3.57206644043579
