"Date","RegionID","RegionName","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2016-02-29,11,"Connecticut",28,237900,0.000841396718552798,0.000420521446593776,0.00126262626262626,-0.00723819839036643,-0.0210834664741448,"2006-05","2006-Q2",295600,-0.195196211096076,"2003-12"
2016-02-29,19,"Iowa",29,130000,-0.00153609831029186,-0.00306748466257669,0.0309278350515464,0.0225221570495913,,"2015-09","2015-Q3",130600,-0.00459418070444104,"2015-08"
2016-02-29,34,"Mississippi",30,113100,-0.00088339222614841,0,0.00982142857142857,-0.000529661314211283,0.0278907174639638,"2013-02","2013-Q1",129600,-0.127314814814815,"2012-04"
2016-02-29,6,"Arkansas",31,115300,0.000868055555555556,0.00698689956331878,0.0313059033989267,0.0216306420783474,0.0158727425438416,"2016-02","2016-Q1",115300,0,"2016-02"
2016-02-29,23,"Kansas",32,122600,-0.00406173842404549,-0.00162866449511401,0.0416312659303314,0.0169821044405265,,"2013-02","2013-Q1",128700,-0.0473970473970474,"2012-06"
2016-02-29,55,"Utah",33,224300,0.00402864816472695,0.0140144665461121,0.0670789724072312,0.0225855911929287,0.0147754810723926,"2008-01","2008-Q1",258900,-0.133642332947084,"2006-11"
2016-02-29,42,"Nevada",34,214300,0.00374707259953162,0.0170859041290935,0.0972862263184844,0.0955305182260615,-0.0362774069815284,"2006-04","2006-Q2",311300,-0.311596530677803,"2004-04"
2016-02-29,41,"New Mexico",35,163400,-0.000611620795107034,-0.00122249388753056,-0.000611620795107034,-0.0211150878150287,-0.0116419824973055,"2009-05","2009-Q2",197200,-0.171399594320487,"2004-12"
2016-02-29,61,"West Virginia",36,98600,0.0249480249480249,0.0522945570971185,0.0871003307607497,0.00938642172269999,,"2014-03","2014-Q1",105000,-0.060952380952381,"2013-08"
2016-02-29,38,"Nebraska",37,141600,0.00425531914893617,0.0209084354722422,0.0686792452830189,0.0348670562827118,0.0133609316554593,"2016-02","2016-Q1",141600,0,"2016-02"
2016-02-29,20,"Idaho",38,173400,0.00405327156919514,0.0116686114352392,0.0534629404617254,0.0288694011403299,0.00461319038988139,"2007-11","2007-Q4",197200,-0.120689655172414,"2006-04"
2016-02-29,18,"Hawaii",39,556700,0.00288236353810124,0.0121818181818182,0.050377358490566,0.0482701017964116,0.00347860749774287,"2016-02","2016-Q1",556700,0,"2016-02"
2016-02-29,39,"New Hampshire",40,227300,0.00441891294741494,0.0129233511586453,0.0374258329529895,0.024898070837162,-0.0115109186040143,"2006-03","2006-Q1",255500,-0.110371819960861,"2004-05"
2016-02-29,50,"Rhode Island",41,231200,0.00347222222222222,0.0135905304690925,0.0452079566003617,0.00851790907467276,-0.0241408295898824,"2005-11","2005-Q4",297000,-0.221548821548822,"2003-08"
2016-02-29,35,"Montana",42,186600,0.00107296137339056,0.00161030595813205,0.0407138873396542,-0.00795246399828875,0.0197850195632396,"2009-08","2009-Q3",214400,-0.129664179104478,"2008-11"
2016-02-29,13,"Delaware",43,210900,0.00380771061399334,0.0163855421686747,0.0476900149031297,0.00826156998008143,-0.00750435008062811,"2007-05","2007-Q2",234900,-0.102171136653895,"2005-08"
2016-02-29,52,"South Dakota",44,177800,0.00622524052065648,0.0183276059564719,0.133928571428571,0.0513786006278207,0.029922099633636,"2016-02","2016-Q1",177800,0,"2016-02"
2016-02-29,3,"Alaska",45,266200,0.00301431801055011,0.012937595129376,0.0382215288611544,0.00958592357984567,0.00561671531068808,"2008-06","2008-Q2",277900,-0.0421014753508456,"2007-03"
2016-02-29,37,"North Dakota",46,199800,0.00250878073256397,0.013184584178499,0.0330920372285419,0.0552401072016162,0.0463552948280042,"2016-02","2016-Q1",199800,0,"2016-02"
2016-02-29,58,"Vermont",47,218200,-0.00182982616651418,-0.00456204379562044,0.00229673863114378,0.00314588008021732,-0.0115581076026563,"2005-06","2005-Q2",256100,-0.147989066770793,"2004-10"
2016-02-29,12,"District of Columbia",48,500500,0.00260416666666667,0.011928831378892,0.0521336977086399,0.0724451785307321,0.0225396474800348,"2016-02","2016-Q1",500500,0,"2016-02"
2016-02-29,62,"Wyoming",49,192600,0,0.0015600624024961,0.0354838709677419,0.00710645276754884,0.0125599278341633,"2009-06","2009-Q2",212400,-0.0932203389830508,"2008-08"
