"RegionName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02"
"Minnesota",21,,,,,,,,,,,,,,,,,,,,,800,850,895,900,920,940,935,940,930,899.5,910,900,925,900,907.5,895,900,950,959,950,950,925,945,995,990,995,975,980,999,1000,1025,1030,1045,1050,1090,1073,1081,1050,1050,1058,1085,1100,1100,1100,1125,1125,1160.5,1165,1140,1220,1245,1249,1250
"Colorado",22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1025,995,1000,1025,1049,992,950,1040,1088,1100,1100,1100,1170,1190,1195,1200,1260,1280,1288,1290,1305,1305,1375,1359,1353,1360,1395,1375,1400,1420,1399,1420,1429,1425,1430
"Alabama",23,,,,,,,,,,,,,,,,,,,,650,645,675,650,640,650,675,579,600,605,600,600,599,600,600,595,625,600,695,702.5,720,735,700,690,687,695,679,695,675,695,695,700,695,685,695,700,700,700,700,708,700,668.5,705,705,700,707,700,700,709,710,755,775,770,710
"South Carolina",24,,,,,,,,,,,,662.5,675,700,675,699,675,675,705,700,675,650,650,700,775,832,847,850,805,700,700,700,715,759,720,790,837.5,784,760,754,790,841.5,850,907,895,825,950,950,900,900,885,877.5,864.5,895,885,850,860,875,878.5,885,890,919,900,900,925,895,915,929.5,915,910,915,960,975
"Louisiana",25,,,,,,,,,,,,850,950,895,1000,975,950,900,850,815,830,875,850,875,851,860,850,825,850,875,875,847.5,845,800,800,845,825,850,850,900,890,920,925,899,890,894,950,975,900,925,950,946,950,900,877,900,949,922.5,949,900,900,940,1000,1030,1030,1000,1050,1027,995,1000,1000,1000,1000
"Kentucky",26,,,,,,,,,,,,,610,599,612,597,610,600,614,584,575,600,622.5,575,575,579,600,625,600,627.5,600,649,650,617.5,600,607.5,625,700,702,725,690,655,650,625,627.5,630,694,625,677,729,750,759,675,725,722.5,677,675,665,690,675,699,700,725,729,734,700,710,719.5,700,752,750,750,755
"Oregon",27,,,,,,,,,,,,695,695,695,695,700,715,725,730,750,750,725,700,720,750,750,725,732.5,740,725,725,725,725,720,725,750,750,805,850,895,897,895,883,800,800,825,900,910,898,915,955,950,970,990,995,1015,1005,995,985,985,1015,1024.5,999,1000,1040,1107,1175,1210,1222.5,1375,1338,1350,1387
"Connecticut",28,,900,900,900,950,950,1000,1000,1000,982.5,950,975,975,1000,1100,1100,1050,1075,1050,1000,1050,1000,1000,1000,1050,1100,1100,1100,1100,1100,1100,1088,1050,1050,1050,1000,1050,1100,1150,1167.5,1200,1225,1200,1150,1125,1100,1150,1125,1150,1150,1195,1200,1200,1200,1200,1200,1200,1150,1150,1150,1200,1200,1200,1200,1200,1250,1250,1250,1200,1275,1250,1250,1275
"Iowa",29,,,,,,,,,,,,,,,,,,,,,,,,662.5,635,622.5,630,695,695,685.5,650,637.5,627.5,632.5,627.5,650,650,675,689,700,695,695,700,700,731,675,650,657.5,700,700,685,664,685,675,675,645,650,650,650,675,695,705,719,725,725,720,705,715,700,750,750,750,765
"Mississippi",30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,757.5,760,760,728,720,734,729,700,720,730,715,715,725,680,700,735,765,742.5,725,700,715,735,722.5,730,746,700,725,715,705,695,695,700,675,700,700
"Arkansas",31,,,,,,,,,,,,600,595,595,575,575,600,625,625,625,600,595,575,575,595,595,585,595,575,575,575,575,550,550,550,565,575,650,695,705,745,650,602.5,575,575,595,595,600,632,650,650,650,645,650,650,645,638,605,637,625,600,625,650,625,602.5,605,600,625,650,650,655,650,650
"Kansas",32,,,,,,,,,,,,,,,,,,,,,,,,725,750,790,825,800,850,795,800,795,750,750,695,675,700,699,675,683,709,700,675,660,670,650,685,711,715,727.5,750,725,690,691,700,700,725,725,725,750,760,750,740,750,750,742.5,725,730,725,754,750,750,749
"Utah",33,,,,,,,,,,,,,,850,735,725,699,695,715,679,695,695,705,750,725,700,740,775,735,700,700,699,695,699,699,699.5,699,815,815,809,799,800,775,700,725,750,750,750,750,742,750,750,750,750,750,750,775,775,776,775,795,797,799,795,800,819,850,852.5,875,899,895,888,909
"Nevada",34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,1080,975.5,950,975,975,1000,914.5,945,945,950,965,975,942.5,945,925,914,979,1034,965,975
"New Mexico",35,,,,,,,,,,,,,,,,,,575,575,562.5,560,575,575,555,595,590.5,586,586,595,599,650,600,600,600,600,600,625,664,695,695,761.5,700,675,650,650,639.5,695,650,650,650,665,650,650,649,650,650,650,650,650,645,650,650,650,660,667.5,675,675,700,699.5,695,700,725,725
"West Virginia",36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,637.5,612.5,650,650,750,750,750,750,700,700,650,675,695,675,675,675,680,725,707.5,720,700
"Nebraska",37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,832.5,815,839.5,840,827.5,807.5,815,800,795,790,791.5,790,795,800,800,795,805,799.5,805,795,795,810,800,805,825
"Idaho",38,,,,,,,,,,,,,,,,,,,,,,,,595,615,625,645,625,625,637.5,635,625,625,625,625,625,625,615,600,650,650,650,650,625,625,625,650,623,649,645,630,625,650,650,625,625,645,663,650,625,650,650,650,625,627.5,690.5,685,650,675,695,690,675,687
"Hawaii",39,,,,,,,,,,,,,,1300,1300,1300,1262.5,1200,1200,1200,1337.5,1525,1500,1500,1412.5,1400,1500,1550,1650,1500,1500,1500,1475,1550,1695,1600,1550,1444,1444,1540,1700,1650,1857.5,1650,1500,1600,1550,1595,1500,1400,1500,1655,1700,1600,1650,1600,1650,1730,1850,1700,1750,1650,1650,1650,1662.5,1750,1800,1800,1762.5,1800,1850,1795,1837.5
"Maine",40,,,,,,,,,,,,,,,,,,,,,,,,925,925,975,1000,950,937.5,875,895,896,900,942.5,900,900,912.5,950,1025,950,990,900,975,905,900,875,835,875,850,850,900,890,865,895,925,950,930,925,927,920,995,1025,1000,1000,1000,1000,1000,1000,995,1000,990,975,1000
"New Hampshire",41,,,,,,,,,,,985,900,900,899,900,825,900,900,897,889,879,925,900,932,975,975,978,950,929,949,995,999.5,995,999,995,969.5,975,1075,1095,1095,1095,1049,1029,999,1000,950,995,995,975,987.5,995,1000,1000,1050,1075,1069,1047,1028,1050,1000,1050,1085,1075,1059.5,1059,1067,1082,1100,1077,1060,1075,1100,1100
"Rhode Island",42,,,,,,,,,,,,,995,912.5,925,930,925,930,900,925,900,950,950,950,995,1095,1100,1050,1050,1100,995,975,983.5,1000,1000,1075,1150,1150,1100,1100,1100,1120,1191.5,1100,1075,1000,1095,1100,1100,1100,1150,1200,1200,1150,1100,1132.5,1150,1150,1175,1199,1200,1219,1230,1200,1200,1200,1200,1200,1200,1200,1200,1200,1295
"Montana",43,,,,,,,,,,,,,,,,,,,,665,645,625,585,595,625,625,650,675,695,650,650,625,635,650,655,650,695,675,690,700,765,734.5,700,725,725,725,700,729.5,695,675,695,695,695,695,695,675,650,650,675,694,695,710,725,725,705,725,715,725,725,725,725,715,725
"Delaware",44,,,,,,,,,,,,,,,,,,,,,,,,,762.5,765,820,847.5,750,740,750,772.5,850,850,850,850,850,867.5,889,884,858,996,900,900,905,929.5,925,920,905,902.5,930,950,927,949,969,987.5,985,1024,965,946,996,1000,1030.5,1045,1017,1015,1000,995,1000,1005,961,989.5,1000
"South Dakota",45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650,672.5,722,700,700,700,700,650,625,625,600,600,640,675,697,720,730,775,770,760,752.5,727.5,745,775,755,820,800,800,822.5
"Alaska",46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,1175,1100,1200,1100,1100,1100,1025,1050,1135,1172.5,1200,1225,1250,1250,1197,1148.5,1149.5,1177,1145,1195,1120,1100,1150,1125,1100,1150,1150,1150
"District of Columbia",47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2200.5,2150,2195,2116,2137.5,2158,2099.5,2140,2160,2160,2149,2195,2180,2140,2192,2199,2200,2200,2225,2200,2190,2201,2210,2222.5,2250,2219,2200,2200,2205,2200
"Wyoming",48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,662.5,650,650,650,625,650,700,725,667.5,675,677.5,667.5,682.5,700,712.5,725,750,700,720,750,762.5,775,750,700,700,700,725,697.5,750,750,775,775,750,750,750,740,750,749,749
