"RegionName","RegionType","StateFullName","DataTypeDescription","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02"
"Iowa","State","Iowa","All Homes",12015,12252,13444,13912,14062,14190,15154,15008,16325,16270,16174,16184,15541,16108,17622,18116,18872,19312,19776,20177,19638,19215,18895,17394,16438,16638,17014,17586,17661,18612,18380,18182,18146,17883,16946,15208,14478,15462,15696,16292,16944,17308,17304,17536,17321,16949,16424,15163,13922,13978,14114,15229,16043,16676,16929,16983,17082,16809,15978,14640,13708,13590,13667,10906,12257,12926,12996,13391,13655,13662,12976,12047,11048,10918
"Mississippi","State","Mississippi","All Homes",12896,13405,13753,14032,13833,13922,14713,14236,14081,14750,14298,13923,13042,14200,14784,15086,14916,14791,14689,14860,13721,13965,13613,12651,11836,12814,13130,12605,12590,13041,12732,12082,11963,11782,12740,12660,12068,12528,13244,13229,13563,13834,13864,13908,13953,13801,13509,13140,12301,12000,12078,12540,12975,13170,13134,13193,13198,13160,13118,12808,12293,12534,12914,9766,10286,10660,10912,11170,10980,11784,12342,11759,11008,11188
"Arkansas","State","Arkansas","All Homes",17526,17790,18421,18438,18120,18865,19880,19534,19253,19080,19295,18190,18049,20050,20457,21067,20758,20618,21646,21559,20522,20322,20389,19508,18446,18507,18942,18934,19268,20093,19620,19741,19948,20136,20128,19236,18275,18676,19240,19929,20602,21402,21273,19982,19992,20637,20586,19912,18814,19138,19166,19955,20561,19952,20191,20368,20320,20568,20101,19502,18591,18968,18732,14627,15385,15873,17651,17818,17166,17178,17044,16266,15778,16382
"Kansas","State","Kansas","All Homes",15096,15204,17067,17630,17300,18536,18862,18478,18816,18273,17144,16587,15672,15638,17088,17858,17547,17662,18357,18068,17530,17240,16752,15198,14409,14564,15352,15174,14247,14098,13786,13774,13376,12887,12496,11348,11010,11471,11733,12003,12403,12574,12654,12604,12422,12250,11800,11115,10273,10222,10538,11271,12446,12736,12864,12488,12386,12377,11770,10598,10058,10186,10392,9506,10790,11247,11462,11633,11467,11448,11020,10214,9122,9232
"Utah","State","Utah","All Homes",16848,16422,17489,18004,16768,17237,16708,16317,17187,17042,16307,17279,16782,17829,19270,18916,18716,18993,19985,19556,18650,18164,17843,16768,16119,15573,14890,13416,13613,13952,13616,13535,13427,12684,12120,10927,10315,10604,11130,11394,12398,13000,13345,14132,14082,13990,13695,13203,12536,12780,13204,14209,14772,15492,15988,15764,15466,15043,14039,12877,12192,12227,12055,9479,9707,9975,9979,10119,10152,9950,9242,8278,7428,7980
"Nevada","State","Nevada","All Homes",22642,22708,23415,22762,22339,22079,23928,24733,26134,28744,28325,28089,27492,28118,29027,31202,30644,30734,32234,32373,31050,30600,29728,27278,25668,25194,24096,22827,22738,22345,20300,19515,17976,12044,11716,11727,10469,10504,10562,10528,10630,11024,11502,12364,13314,13678,14045,13455,12612,12738,13202,13460,13924,14424,14857,15145,15548,15590,15268,14393,13666,14192,13648,13916,13304,13844,14917,15402,15464,15411,14945,13456,12768,13102
"New Mexico","State","New Mexico","All Homes",12068,12188,12515,12662,12454,12869,13616,13534,13739,13562,13212,13213,12947,13355,14168,14368,14036,14388,15328,15842,15267,15238,15014,14149,13208,12923,12891,12347,12735,13351,13301,13337,13916,13591,13294,12470,11682,12070,12663,13090,13640,14179,14727,15172,14849,14575,14043,13408,12627,12672,12794,13698,14383,14934,15295,15494,15163,14783,14037,12845,12144,11998,12092,12562,13248,13174,13830,13712,13172,12662,12742,12316,11506,11535
"West Virginia","State","West Virginia","All Homes",7217,7218,7225,7750,7505,7551,7496,7338,7560,7417,7147,7260,6961,7518,7846,7964,8306,8685,9469,9833,9388,8769,9442,8940,8238,8418,8608,8335,8243,8426,8544,8453,8795,8434,8153,7546,7225,7502,7706,7804,8177,8816,9024,8936,8705,8652,8374,7976,7635,7622,7678,8314,8816,9472,9824,9940,9934,9616,9324,8482,7990,8116,8144,8524,8956,9564,9751,9957,10252,10060,9536,8688,8208,8090
"Nebraska","State","Nebraska","All Homes",5953,7176,6943,7194,7113,7422,7683,7696,7901,8130,8705,7845,5920,6459,7593,7624,7800,8021,8314,8279,7929,7817,7560,6670,6304,6195,6326,6250,6283,6539,6494,6490,6456,6389,6087,5564,5172,5235,5527,5490,5650,5848,7036,7141,7077,6988,6952,6164,5778,5722,5810,6066,6208,6468,6642,6744,6706,6694,6418,5921,5470,5328,5392,4650,4955,5380,5923,5964,6016,6016,5886,5258,4854,4882
"Idaho","State","Idaho","All Homes",14001,14581,15014,15533,14948,15142,15520,15322,15554,14924,14282,13821,13496,13605,14411,14788,14754,15467,16824,17647,16956,15988,15668,15192,13788,13669,13666,13098,13517,14098,14450,13504,13788,13093,12556,11566,10527,10704,10958,11519,12292,13175,13649,14286,14053,13685,12949,12172,11191,11225,11603,11962,13712,14716,15239,15130,14682,14257,13121,12097,11131,11098,11266,11468,11910,13242,13378,13446,12926,12034,10658,9493,8672,8613
